event_date,contract,source_market,target_market,lag_minute,FEVD
2024-01-31,25bp_dec,CME,PM,1,0.0001497080831101938
2024-01-31,25bp_dec,CME,PM,5,0.0002745213922708206
2024-01-31,25bp_dec,CME,PM,30,0.001507870369156119
2024-01-31,25bp_dec,CME,PM,60,0.0034447049704198827
2024-01-31,25bp_dec,PM,CME,1,8.37701308794068e-05
2024-01-31,25bp_dec,PM,CME,5,9.12902149223551e-05
2024-01-31,25bp_dec,PM,CME,30,0.0003979422329282771
2024-01-31,25bp_dec,PM,CME,60,0.001441182087565992
2024-01-31,25bp_dec,CME,KAL,1,6.51481169752658e-07
2024-01-31,25bp_dec,CME,KAL,5,1.779540589080921e-05
2024-01-31,25bp_dec,CME,KAL,30,0.00037445078163537645
2024-01-31,25bp_dec,CME,KAL,60,0.0006232841389176322
2024-01-31,25bp_dec,KAL,CME,1,6.542809721212216e-06
2024-01-31,25bp_dec,KAL,CME,5,3.736644500105648e-05
2024-01-31,25bp_dec,KAL,CME,30,0.0007899370189445539
2024-01-31,25bp_dec,KAL,CME,60,0.0011303567987057902
2024-01-31,25bp_dec,PM,KAL,1,4.831263530849982e-12
2024-01-31,25bp_dec,PM,KAL,5,7.798068540572443e-12
2024-01-31,25bp_dec,PM,KAL,30,7.798068542558841e-12
2024-01-31,25bp_dec,PM,KAL,60,7.798068542558841e-12
2024-01-31,25bp_dec,KAL,PM,1,1.1190063301274313e-08
2024-01-31,25bp_dec,KAL,PM,5,1.119368506098867e-08
2024-01-31,25bp_dec,KAL,PM,30,1.1193685061089321e-08
2024-01-31,25bp_dec,KAL,PM,60,1.1193685061089321e-08
2024-03-20,25bp_dec,CME,PM,1,0.000264524005312134
2024-03-20,25bp_dec,CME,PM,5,0.00026555139122848
2024-03-20,25bp_dec,CME,PM,30,0.00047554847669046
2024-03-20,25bp_dec,CME,PM,60,0.0006970614521588245
2024-03-20,25bp_dec,PM,CME,1,0.0002603730186334613
2024-03-20,25bp_dec,PM,CME,5,0.00025765197975108936
2024-03-20,25bp_dec,PM,CME,30,0.00025740381292147966
2024-03-20,25bp_dec,PM,CME,60,0.0007164402648640732
2024-03-20,25bp_dec,CME,KAL,1,0.00035822981796045864
2024-03-20,25bp_dec,CME,KAL,5,0.005726548128731576
2024-03-20,25bp_dec,CME,KAL,30,0.009415671439560715
2024-03-20,25bp_dec,CME,KAL,60,0.012656042042904304
2024-03-20,25bp_dec,KAL,CME,1,0.0007580393528159454
2024-03-20,25bp_dec,KAL,CME,5,0.0010155971087589502
2024-03-20,25bp_dec,KAL,CME,30,0.00540925728063108
2024-03-20,25bp_dec,KAL,CME,60,0.008527629135141893
2024-03-20,25bp_dec,PM,KAL,1,2.4332548587964473e-06
2024-03-20,25bp_dec,PM,KAL,5,2.635275542736814e-06
2024-03-20,25bp_dec,PM,KAL,30,5.0571861783919454e-05
2024-03-20,25bp_dec,PM,KAL,60,5.9631811780294094e-05
2024-03-20,25bp_dec,KAL,PM,1,2.4236719192704336e-06
2024-03-20,25bp_dec,KAL,PM,5,2.427002998896644e-06
2024-03-20,25bp_dec,KAL,PM,30,0.003744282721881067
2024-03-20,25bp_dec,KAL,PM,60,0.0037551255892719878
2024-06-12,25bp_dec,CME,PM,1,6.901237029256597e-05
2024-06-12,25bp_dec,CME,PM,5,0.00016565625115005185
2024-06-12,25bp_dec,CME,PM,30,0.0011241401704337962
2024-06-12,25bp_dec,CME,PM,60,0.0014557622415992731
2024-06-12,25bp_dec,PM,CME,1,3.766176768103034e-06
2024-06-12,25bp_dec,PM,CME,5,0.0002911846045806315
2024-06-12,25bp_dec,PM,CME,30,0.0007464298645838867
2024-06-12,25bp_dec,PM,CME,60,0.0009694046393163481
2024-06-12,25bp_dec,CME,KAL,1,0.00021429242105499685
