time,effr_avg_dec,effr_end_dec,volume,effr_start_dec,delta_effr,num_hikes,hikes_floor,hikes_decimal,prob_cut_100,prob_cut_75,prob_cut_50,prob_cut_25,prob_no_change,prob_hike_25,prob_hike_50,prob_hike_75,prob_hike_100
2024-08-01 05:41:00+00:00,4.75,4.607413793103447,14.0,4.852978927203066,-0.24556513409961855,-0.9822605363984742,-1.0,0.017739463601525784,0.0,0.0,0.0,0.9822605363984742,0.017739463601525784,0.0,0.0,0.0,0.0
2024-08-01 08:50:00+00:00,4.7549999999999955,4.60706896551724,38.0,4.861839080459762,-0.2547701149425219,-1.0190804597700875,-2.0,0.9809195402299125,0.0,0.0,0.019080459770087543,0.9809195402299125,0.0,0.0,0.0,0.0,0.0
2024-08-01 09:00:00+00:00,4.75,4.6024137931034526,5.0,4.856590038314173,-0.25417624521072035,-1.0167049808428814,-2.0,0.9832950191571186,0.0,0.0,0.01670498084288141,0.9832950191571186,0.0,0.0,0.0,0.0,0.0
2024-08-01 10:05:00+00:00,4.75,4.602068965517245,2.0,4.856839080459767,-0.2547701149425219,-1.0190804597700875,-2.0,0.9809195402299125,0.0,0.0,0.019080459770087543,0.9809195402299125,0.0,0.0,0.0,0.0,0.0
2024-08-01 10:43:00+00:00,4.75,4.597413793103442,50.0,4.860201149425291,-0.2627873563218488,-1.0511494252873952,-2.0,0.9488505747126048,0.0,0.0,0.05114942528739519,0.9488505747126048,0.0,0.0,0.0,0.0,0.0
2024-08-01 10:59:00+00:00,4.7450000000000045,4.597413793103442,11.0,4.851590038314188,-0.2541762452107461,-1.0167049808429844,-2.0,0.9832950191570156,0.0,0.0,0.01670498084298444,0.9832950191570156,0.0,0.0,0.0,0.0,0.0
2024-08-01 11:00:00+00:00,4.7450000000000045,4.597413793103442,10.0,4.851590038314188,-0.2541762452107461,-1.0167049808429844,-2.0,0.9832950191570156,0.0,0.0,0.01670498084298444,0.9832950191570156,0.0,0.0,0.0,0.0,0.0
2024-08-01 11:13:00+00:00,4.75,4.6024137931034526,21.0,4.856590038314173,-0.25417624521072035,-1.0167049808428814,-2.0,0.9832950191571186,0.0,0.0,0.01670498084288141,0.9832950191571186,0.0,0.0,0.0,0.0,0.0
2024-08-01 11:18:00+00:00,4.7549999999999955,4.607413793103447,1.0,4.861590038314169,-0.25417624521072213,-1.0167049808428885,-2.0,0.9832950191571115,0.0,0.0,0.016704980842888517,0.9832950191571115,0.0,0.0,0.0,0.0,0.0
2024-08-01 11:29:00+00:00,4.75,4.6024137931034526,11.0,4.856590038314173,-0.25417624521072035,-1.0167049808428814,-2.0,0.9832950191571186,0.0,0.0,0.01670498084288141,0.9832950191571186,0.0,0.0,0.0,0.0,0.0
2024-08-01 11:30:00+00:00,4.75,4.6024137931034526,25.0,4.856590038314173,-0.25417624521072035,-1.0167049808428814,-2.0,0.9832950191571186,0.0,0.0,0.01670498084288141,0.9832950191571186,0.0,0.0,0.0,0.0,0.0
2024-08-01 12:00:00+00:00,4.7549999999999955,4.60706896551724,2.0,4.861839080459762,-0.2547701149425219,-1.0190804597700875,-2.0,0.9809195402299125,0.0,0.0,0.019080459770087543,0.9809195402299125,0.0,0.0,0.0,0.0,0.0
2024-08-01 12:02:00+00:00,4.7549999999999955,4.607413793103447,46.0,4.861590038314169,-0.25417624521072213,-1.0167049808428885,-2.0,0.9832950191571115,0.0,0.0,0.016704980842888517,0.9832950191571115,0.0,0.0,0.0,0.0,0.0
2024-08-01 12:21:00+00:00,4.75,4.602758620689659,3.0,4.856340996168579,-0.2535823754789197,-1.0143295019156788,-2.0,0.9856704980843212,0.0,0.0,0.014329501915678833,0.9856704980843212,0.0,0.0,0.0,0.0,0.0
2024-08-01 12:29:00+00:00,4.75,4.6024137931034526,78.0,4.856590038314173,-0.25417624521072035,-1.0167049808428814,-2.0,0.9832950191571186,0.0,0.0,0.01670498084288141,0.9832950191571186,0.0,0.0,0.0,0.0,0.0
2024-08-01 12:30:00+00:00,4.734999999999999,4.582758620689648,58.0,4.844952107279697,-0.26219348659004904,-1.0487739463601962,-2.0,0.9512260536398038,0.0,0.0,0.04877394636019616,0.9512260536398038,0.0,0.0,0.0,0.0,0.0
2024-08-01 12:31:00+00:00,4.730000000000004,4.57810344827586,147.0,4.839703065134108,-0.2615996168582484,-1.0463984674329936,-2.0,0.9536015325670064,0.0,0.0,0.046398467432993584,0.9536015325670064,0.0,0.0,0.0,0.0,0.0
2024-08-01 12:32:00+00:00,4.730000000000004,4.577758620689654,130.0,4.839952107279701,-0.26219348659004726,-1.048773946360189,-2.0,0.9512260536398109,0.0,0.0,0.04877394636018906,0.9512260536398109,0.0,0.0,0.0,0.0,0.0
2024-08-01 12:33:00+00:00,4.730000000000004,4.582758620689648,31.0,4.836340996168594,-0.25358237547894547,-1.0143295019157819,-2.0,0.9856704980842181,0.0,0.0,0.014329501915781861,0.9856704980842181,0.0,0.0,0.0,0.0,0.0
2024-08-01 12:34:00+00:00,4.724999999999994,4.577758620689654,1.0,4.831340996168573,-0.2535823754789197,-1.0143295019156788,-2.0,0.9856704980843212,0.0,0.0,0.014329501915678833,0.9856704980843212,0.0,0.0,0.0,0.0,0.0
2024-08-01 12:36:00+00:00,4.730000000000004,4.582758620689648,15.0,4.836340996168594,-0.25358237547894547,-1.0143295019157819,-2.0,0.9856704980842181,0.0,0.0,0.014329501915781861,0.9856704980842181,0.0,0.0,0.0,0.0,0.0
2024-08-01 12:38:00+00:00,4.734999999999999,4.582758620689648,45.0,4.844952107279697,-0.26219348659004904,-1.0487739463601962,-2.0,0.9512260536398038,0.0,0.0,0.04877394636019616,0.9512260536398038,0.0,0.0,0.0,0.0,0.0
2024-08-01 12:40:00+00:00,4.7450000000000045,4.592758620689654,300.0,4.854952107279702,-0.26219348659004815,-1.0487739463601926,-2.0,0.9512260536398074,0.0,0.0,0.04877394636019261,0.9512260536398074,0.0,0.0,0.0,0.0,0.0
2024-08-01 12:42:00+00:00,4.739999999999995,4.587758620689659,142.0,4.849952107279682,-0.2621934865900233,-1.0487739463600931,-2.0,0.9512260536399069,0.0,0.0,0.048773946360093134,0.9512260536399069,0.0,0.0,0.0,0.0,0.0
2024-08-01 12:44:00+00:00,4.739999999999995,4.587758620689659,7.0,4.849952107279682,-0.2621934865900233,-1.0487739463600931,-2.0,0.9512260536399069,0.0,0.0,0.048773946360093134,0.9512260536399069,0.0,0.0,0.0,0.0,0.0
2024-08-01 12:49:00+00:00,4.739999999999995,4.592758620689654,100.0,4.846340996168574,-0.2535823754789197,-1.0143295019156788,-2.0,0.9856704980843212,0.0,0.0,0.014329501915678833,0.9856704980843212,0.0,0.0,0.0,0.0,0.0
2024-08-01 12:57:00+00:00,4.7450000000000045,4.592758620689654,5.0,4.854952107279702,-0.26219348659004815,-1.0487739463601926,-2.0,0.9512260536398074,0.0,0.0,0.04877394636019261,0.9512260536398074,0.0,0.0,0.0,0.0,0.0
2024-08-01 13:00:00+00:00,4.7450000000000045,4.597758620689649,33.0,4.851340996168594,-0.25358237547894547,-1.0143295019157819,-2.0,0.9856704980842181,0.0,0.0,0.014329501915781861,0.9856704980842181,0.0,0.0,0.0,0.0,0.0
2024-08-01 13:01:00+00:00,4.7450000000000045,4.597758620689649,8.0,4.851340996168594,-0.25358237547894547,-1.0143295019157819,-2.0,0.9856704980842181,0.0,0.0,0.014329501915781861,0.9856704980842181,0.0,0.0,0.0,0.0,0.0
2024-08-01 13:08:00+00:00,4.7450000000000045,4.598103448275856,1.0,4.851091954023,-0.2529885057471448,-1.0119540229885793,-2.0,0.9880459770114207,0.0,0.0,0.011954022988579283,0.9880459770114207,0.0,0.0,0.0,0.0,0.0
2024-08-01 13:15:00+00:00,4.7450000000000045,4.592758620689654,2.0,4.854952107279702,-0.26219348659004815,-1.0487739463601926,-2.0,0.9512260536398074,0.0,0.0,0.04877394636019261,0.9512260536398074,0.0,0.0,0.0,0.0,0.0
2024-08-01 13:25:00+00:00,4.739999999999995,4.587758620689659,64.0,4.849952107279682,-0.2621934865900233,-1.0487739463600931,-2.0,0.9512260536399069,0.0,0.0,0.048773946360093134,0.9512260536399069,0.0,0.0,0.0,0.0,0.0
2024-08-01 13:36:00+00:00,4.734999999999999,4.582758620689648,3.0,4.844952107279697,-0.26219348659004904,-1.0487739463601962,-2.0,0.9512260536398038,0.0,0.0,0.04877394636019616,0.9512260536398038,0.0,0.0,0.0,0.0,0.0
2024-08-01 13:39:00+00:00,4.730000000000004,4.583103448275855,1.0,4.836091954023001,-0.2529885057471457,-1.0119540229885828,-2.0,0.9880459770114172,0.0,0.0,0.011954022988582835,0.9880459770114172,0.0,0.0,0.0,0.0,0.0
2024-08-01 13:41:00+00:00,4.734999999999999,4.583103448275855,16.0,4.844703065134103,-0.2615996168582484,-1.0463984674329936,-2.0,0.9536015325670064,0.0,0.0,0.046398467432993584,0.9536015325670064,0.0,0.0,0.0,0.0,0.0
2024-08-01 13:44:00+00:00,4.734999999999999,4.583103448275855,18.0,4.844703065134103,-0.2615996168582484,-1.0463984674329936,-2.0,0.9536015325670064,0.0,0.0,0.046398467432993584,0.9536015325670064,0.0,0.0,0.0,0.0,0.0
2024-08-01 13:49:00+00:00,4.734999999999999,4.583103448275855,2.0,4.844703065134103,-0.2615996168582484,-1.0463984674329936,-2.0,0.9536015325670064,0.0,0.0,0.046398467432993584,0.9536015325670064,0.0,0.0,0.0,0.0,0.0
2024-08-01 13:51:00+00:00,4.734999999999999,4.583103448275855,20.0,4.844703065134103,-0.2615996168582484,-1.0463984674329936,-2.0,0.9536015325670064,0.0,0.0,0.046398467432993584,0.9536015325670064,0.0,0.0,0.0,0.0,0.0
2024-08-01 13:59:00+00:00,4.734999999999999,4.582758620689648,25.0,4.844952107279697,-0.26219348659004904,-1.0487739463601962,-2.0,0.9512260536398038,0.0,0.0,0.04877394636019616,0.9512260536398038,0.0,0.0,0.0,0.0,0.0
2024-08-01 14:00:00+00:00,4.730000000000004,4.573448275862072,337.0,4.8430651340996205,-0.26961685823754866,-1.0784674329501946,-2.0,0.9215325670498054,0.0,0.0,0.07846743295019465,0.9215325670498054,0.0,0.0,0.0,0.0,0.0
2024-08-01 14:01:00+00:00,4.730000000000004,4.573448275862072,13.0,4.8430651340996205,-0.26961685823754866,-1.0784674329501946,-2.0,0.9215325670498054,0.0,0.0,0.07846743295019465,0.9215325670498054,0.0,0.0,0.0,0.0,0.0
2024-08-01 14:02:00+00:00,4.719999999999999,4.563448275862066,83.0,4.833065134099617,-0.2696168582375513,-1.0784674329502053,-2.0,0.9215325670497947,0.0,0.0,0.07846743295020531,0.9215325670497947,0.0,0.0,0.0,0.0,0.0
2024-08-01 14:03:00+00:00,4.719999999999999,4.558448275862071,74.0,4.8366762452107235,-0.27822796934865224,-1.112911877394609,-2.0,0.887088122605391,0.0,0.0,0.11291187739460895,0.887088122605391,0.0,0.0,0.0,0.0,0.0
2024-08-01 14:04:00+00:00,4.715000000000003,4.558448275862071,1.0,4.828065134099621,-0.26961685823754955,-1.0784674329501982,-2.0,0.9215325670498018,0.0,0.0,0.0784674329501982,0.9215325670498018,0.0,0.0,0.0,0.0,0.0
2024-08-01 14:05:00+00:00,4.709999999999994,4.548103448275858,92.0,4.826925287356313,-0.27882183908045466,-1.1152873563218186,-2.0,0.8847126436781814,0.0,0.0,0.11528735632181863,0.8847126436781814,0.0,0.0,0.0,0.0,0.0
