time,effr_avg_jul,effr_avg_aug,effr_start_aug,effr_end_jul,volume,effr_start_jul,delta_effr,num_hikes,hikes_floor,hikes_decimal,prob_cut_100,prob_cut_75,prob_cut_50,prob_cut_25,prob_no_change,prob_hike_25,prob_hike_50,prob_hike_75,prob_hike_100
2024-04-07 22:00:00+00:00,5.194999999999993,5.099999999999994,5.099999999999994,5.099999999999994,35.0,5.194999999999993,-0.09499999999999886,-0.37999999999999545,-1.0,0.6200000000000045,0.0,0.0,0.0,0.37999999999999545,0.6200000000000045,0.0,0.0,0.0,0.0
2024-04-07 22:02:00+00:00,5.200000000000003,5.105000000000004,5.105000000000004,5.105000000000004,71.0,5.200000000000003,-0.09499999999999886,-0.37999999999999545,-1.0,0.6200000000000045,0.0,0.0,0.0,0.37999999999999545,0.6200000000000045,0.0,0.0,0.0,0.0
2024-04-07 22:05:00+00:00,5.194999999999993,5.105000000000004,5.105000000000004,5.105000000000004,392.0,5.194999999999993,-0.0899999999999892,-0.3599999999999568,-1.0,0.6400000000000432,0.0,0.0,0.0,0.3599999999999568,0.6400000000000432,0.0,0.0,0.0,0.0
2024-04-07 22:11:00+00:00,5.194999999999993,5.105000000000004,5.105000000000004,5.105000000000004,100.0,5.194999999999993,-0.0899999999999892,-0.3599999999999568,-1.0,0.6400000000000432,0.0,0.0,0.0,0.3599999999999568,0.6400000000000432,0.0,0.0,0.0,0.0
2024-04-07 22:17:00+00:00,5.194999999999993,5.105000000000004,5.105000000000004,5.105000000000004,125.0,5.194999999999993,-0.0899999999999892,-0.3599999999999568,-1.0,0.6400000000000432,0.0,0.0,0.0,0.3599999999999568,0.6400000000000432,0.0,0.0,0.0,0.0
2024-04-07 23:09:00+00:00,5.194999999999993,5.099999999999994,5.099999999999994,5.099999999999994,717.0,5.194999999999993,-0.09499999999999886,-0.37999999999999545,-1.0,0.6200000000000045,0.0,0.0,0.0,0.37999999999999545,0.6200000000000045,0.0,0.0,0.0,0.0
2024-04-07 23:28:00+00:00,5.194999999999993,5.099999999999994,5.099999999999994,5.099999999999994,13.0,5.194999999999993,-0.09499999999999886,-0.37999999999999545,-1.0,0.6200000000000045,0.0,0.0,0.0,0.37999999999999545,0.6200000000000045,0.0,0.0,0.0,0.0
2024-04-07 23:29:00+00:00,5.194999999999993,5.099999999999994,5.099999999999994,5.099999999999994,102.0,5.194999999999993,-0.09499999999999886,-0.37999999999999545,-1.0,0.6200000000000045,0.0,0.0,0.0,0.37999999999999545,0.6200000000000045,0.0,0.0,0.0,0.0
2024-04-07 23:53:00+00:00,5.194999999999993,5.099999999999994,5.099999999999994,5.099999999999994,15.0,5.194999999999993,-0.09499999999999886,-0.37999999999999545,-1.0,0.6200000000000045,0.0,0.0,0.0,0.37999999999999545,0.6200000000000045,0.0,0.0,0.0,0.0
2024-04-08 00:07:00+00:00,5.194999999999993,5.099999999999994,5.099999999999994,5.099999999999994,5.0,5.194999999999993,-0.09499999999999886,-0.37999999999999545,-1.0,0.6200000000000045,0.0,0.0,0.0,0.37999999999999545,0.6200000000000045,0.0,0.0,0.0,0.0
2024-04-08 00:13:00+00:00,5.194999999999993,5.099999999999994,5.099999999999994,5.099999999999994,87.0,5.194999999999993,-0.09499999999999886,-0.37999999999999545,-1.0,0.6200000000000045,0.0,0.0,0.0,0.37999999999999545,0.6200000000000045,0.0,0.0,0.0,0.0
2024-04-08 04:26:00+00:00,5.200000000000003,5.109999999999999,5.109999999999999,5.109999999999999,27.0,5.200000000000003,-0.09000000000000341,-0.36000000000001364,-1.0,0.6399999999999864,0.0,0.0,0.0,0.36000000000001364,0.6399999999999864,0.0,0.0,0.0,0.0
2024-04-08 04:30:00+00:00,5.200000000000003,5.109999999999999,5.109999999999999,5.109999999999999,15.0,5.200000000000003,-0.09000000000000341,-0.36000000000001364,-1.0,0.6399999999999864,0.0,0.0,0.0,0.36000000000001364,0.6399999999999864,0.0,0.0,0.0,0.0
2024-04-08 04:43:00+00:00,5.200000000000003,5.109999999999999,5.109999999999999,5.109999999999999,826.0,5.200000000000003,-0.09000000000000341,-0.36000000000001364,-1.0,0.6399999999999864,0.0,0.0,0.0,0.36000000000001364,0.6399999999999864,0.0,0.0,0.0,0.0
2024-04-08 05:40:00+00:00,5.200000000000003,5.109999999999999,5.109999999999999,5.109999999999999,262.0,5.200000000000003,-0.09000000000000341,-0.36000000000001364,-1.0,0.6399999999999864,0.0,0.0,0.0,0.36000000000001364,0.6399999999999864,0.0,0.0,0.0,0.0
2024-04-08 05:54:00+00:00,5.200000000000003,5.109999999999999,5.109999999999999,5.109999999999999,4.0,5.200000000000003,-0.09000000000000341,-0.36000000000001364,-1.0,0.6399999999999864,0.0,0.0,0.0,0.36000000000001364,0.6399999999999864,0.0,0.0,0.0,0.0
2024-04-08 05:56:00+00:00,5.200000000000003,5.109999999999999,5.109999999999999,5.109999999999999,8.0,5.200000000000003,-0.09000000000000341,-0.36000000000001364,-1.0,0.6399999999999864,0.0,0.0,0.0,0.36000000000001364,0.6399999999999864,0.0,0.0,0.0,0.0
2024-04-08 06:03:00+00:00,5.200000000000003,5.109999999999999,5.109999999999999,5.109999999999999,272.0,5.200000000000003,-0.09000000000000341,-0.36000000000001364,-1.0,0.6399999999999864,0.0,0.0,0.0,0.36000000000001364,0.6399999999999864,0.0,0.0,0.0,0.0
2024-04-08 06:48:00+00:00,5.194999999999993,5.105000000000004,5.105000000000004,5.105000000000004,2097.0,5.194999999999993,-0.0899999999999892,-0.3599999999999568,-1.0,0.6400000000000432,0.0,0.0,0.0,0.3599999999999568,0.6400000000000432,0.0,0.0,0.0,0.0
2024-04-08 06:56:00+00:00,5.194999999999993,5.105000000000004,5.105000000000004,5.105000000000004,157.0,5.194999999999993,-0.0899999999999892,-0.3599999999999568,-1.0,0.6400000000000432,0.0,0.0,0.0,0.3599999999999568,0.6400000000000432,0.0,0.0,0.0,0.0
2024-04-08 07:27:00+00:00,5.194999999999993,5.099999999999994,5.099999999999994,5.099999999999994,337.0,5.194999999999993,-0.09499999999999886,-0.37999999999999545,-1.0,0.6200000000000045,0.0,0.0,0.0,0.37999999999999545,0.6200000000000045,0.0,0.0,0.0,0.0
2024-04-08 08:26:00+00:00,5.194999999999993,5.105000000000004,5.105000000000004,5.105000000000004,10.0,5.194999999999993,-0.0899999999999892,-0.3599999999999568,-1.0,0.6400000000000432,0.0,0.0,0.0,0.3599999999999568,0.6400000000000432,0.0,0.0,0.0,0.0
2024-04-08 09:07:00+00:00,5.194999999999993,5.105000000000004,5.105000000000004,5.105000000000004,100.0,5.194999999999993,-0.0899999999999892,-0.3599999999999568,-1.0,0.6400000000000432,0.0,0.0,0.0,0.3599999999999568,0.6400000000000432,0.0,0.0,0.0,0.0
2024-04-08 10:04:00+00:00,5.194999999999993,5.105000000000004,5.105000000000004,5.105000000000004,1913.0,5.194999999999993,-0.0899999999999892,-0.3599999999999568,-1.0,0.6400000000000432,0.0,0.0,0.0,0.3599999999999568,0.6400000000000432,0.0,0.0,0.0,0.0
2024-04-08 10:21:00+00:00,5.189999999999998,5.099999999999994,5.099999999999994,5.099999999999994,113.0,5.189999999999998,-0.09000000000000341,-0.36000000000001364,-1.0,0.6399999999999864,0.0,0.0,0.0,0.36000000000001364,0.6399999999999864,0.0,0.0,0.0,0.0
2024-04-08 10:48:00+00:00,5.194999999999993,5.105000000000004,5.105000000000004,5.105000000000004,210.0,5.194999999999993,-0.0899999999999892,-0.3599999999999568,-1.0,0.6400000000000432,0.0,0.0,0.0,0.3599999999999568,0.6400000000000432,0.0,0.0,0.0,0.0
2024-04-08 12:20:00+00:00,5.194999999999993,5.099999999999994,5.099999999999994,5.099999999999994,2.0,5.194999999999993,-0.09499999999999886,-0.37999999999999545,-1.0,0.6200000000000045,0.0,0.0,0.0,0.37999999999999545,0.6200000000000045,0.0,0.0,0.0,0.0
2024-04-08 13:01:00+00:00,5.189999999999998,5.099999999999994,5.099999999999994,5.099999999999994,250.0,5.189999999999998,-0.09000000000000341,-0.36000000000001364,-1.0,0.6399999999999864,0.0,0.0,0.0,0.36000000000001364,0.6399999999999864,0.0,0.0,0.0,0.0
2024-04-08 13:29:00+00:00,5.189999999999998,5.094999999999999,5.094999999999999,5.094999999999999,124.0,5.189999999999998,-0.09499999999999886,-0.37999999999999545,-1.0,0.6200000000000045,0.0,0.0,0.0,0.37999999999999545,0.6200000000000045,0.0,0.0,0.0,0.0
2024-04-08 13:33:00+00:00,5.189999999999998,5.094999999999999,5.094999999999999,5.094999999999999,1.0,5.189999999999998,-0.09499999999999886,-0.37999999999999545,-1.0,0.6200000000000045,0.0,0.0,0.0,0.37999999999999545,0.6200000000000045,0.0,0.0,0.0,0.0
2024-04-08 13:36:00+00:00,5.189999999999998,5.094999999999999,5.094999999999999,5.094999999999999,650.0,5.189999999999998,-0.09499999999999886,-0.37999999999999545,-1.0,0.6200000000000045,0.0,0.0,0.0,0.37999999999999545,0.6200000000000045,0.0,0.0,0.0,0.0
2024-04-08 13:40:00+00:00,5.189999999999998,5.094999999999999,5.094999999999999,5.094999999999999,13.0,5.189999999999998,-0.09499999999999886,-0.37999999999999545,-1.0,0.6200000000000045,0.0,0.0,0.0,0.37999999999999545,0.6200000000000045,0.0,0.0,0.0,0.0
2024-04-08 13:45:00+00:00,5.189999999999998,5.094999999999999,5.094999999999999,5.094999999999999,2.0,5.189999999999998,-0.09499999999999886,-0.37999999999999545,-1.0,0.6200000000000045,0.0,0.0,0.0,0.37999999999999545,0.6200000000000045,0.0,0.0,0.0,0.0
2024-04-08 13:52:00+00:00,5.189999999999998,5.094999999999999,5.094999999999999,5.094999999999999,1.0,5.189999999999998,-0.09499999999999886,-0.37999999999999545,-1.0,0.6200000000000045,0.0,0.0,0.0,0.37999999999999545,0.6200000000000045,0.0,0.0,0.0,0.0
2024-04-08 14:02:00+00:00,5.194999999999993,5.099999999999994,5.099999999999994,5.099999999999994,7.0,5.194999999999993,-0.09499999999999886,-0.37999999999999545,-1.0,0.6200000000000045,0.0,0.0,0.0,0.37999999999999545,0.6200000000000045,0.0,0.0,0.0,0.0
2024-04-08 14:21:00+00:00,5.194999999999993,5.105000000000004,5.105000000000004,5.105000000000004,47.0,5.194999999999993,-0.0899999999999892,-0.3599999999999568,-1.0,0.6400000000000432,0.0,0.0,0.0,0.3599999999999568,0.6400000000000432,0.0,0.0,0.0,0.0
2024-04-08 14:32:00+00:00,5.194999999999993,5.105000000000004,5.105000000000004,5.105000000000004,17.0,5.194999999999993,-0.0899999999999892,-0.3599999999999568,-1.0,0.6400000000000432,0.0,0.0,0.0,0.3599999999999568,0.6400000000000432,0.0,0.0,0.0,0.0
