time,effr_avg_jun,effr_end_jun,volume,effr_start_jun,delta_effr,num_hikes,hikes_floor,hikes_decimal,prob_cut_100,prob_cut_75,prob_cut_50,prob_cut_25,prob_no_change,prob_hike_25,prob_hike_50,prob_hike_75,prob_hike_100
2024-04-07 22:00:00+00:00,5.2450000000000045,5.194999999999993,24,5.320000000000021,-0.12500000000002753,-0.5000000000001101,-1.0,0.49999999999988987,0.0,0.0,0.0,0.5000000000001101,0.49999999999988987,0.0,0.0,0.0,0.0
2024-04-07 22:01:00+00:00,5.2450000000000045,5.194999999999993,3,5.320000000000021,-0.12500000000002753,-0.5000000000001101,-1.0,0.49999999999988987,0.0,0.0,0.0,0.5000000000001101,0.49999999999988987,0.0,0.0,0.0,0.0
2024-04-07 22:03:00+00:00,5.2450000000000045,5.200000000000003,8,5.312500000000007,-0.11250000000000426,-0.45000000000001705,-1.0,0.549999999999983,0.0,0.0,0.0,0.45000000000001705,0.549999999999983,0.0,0.0,0.0,0.0
2024-04-07 22:08:00+00:00,5.2450000000000045,5.194999999999993,74,5.320000000000021,-0.12500000000002753,-0.5000000000001101,-1.0,0.49999999999988987,0.0,0.0,0.0,0.5000000000001101,0.49999999999988987,0.0,0.0,0.0,0.0
2024-04-08 00:26:00+00:00,5.2450000000000045,5.194999999999993,5,5.320000000000021,-0.12500000000002753,-0.5000000000001101,-1.0,0.49999999999988987,0.0,0.0,0.0,0.5000000000001101,0.49999999999988987,0.0,0.0,0.0,0.0
2024-04-08 00:49:00+00:00,5.2450000000000045,5.194999999999993,2,5.320000000000021,-0.12500000000002753,-0.5000000000001101,-1.0,0.49999999999988987,0.0,0.0,0.0,0.5000000000001101,0.49999999999988987,0.0,0.0,0.0,0.0
2024-04-08 00:51:00+00:00,5.2450000000000045,5.194999999999993,3,5.320000000000021,-0.12500000000002753,-0.5000000000001101,-1.0,0.49999999999988987,0.0,0.0,0.0,0.5000000000001101,0.49999999999988987,0.0,0.0,0.0,0.0
2024-04-08 00:52:00+00:00,5.2450000000000045,5.194999999999993,2,5.320000000000021,-0.12500000000002753,-0.5000000000001101,-1.0,0.49999999999988987,0.0,0.0,0.0,0.5000000000001101,0.49999999999988987,0.0,0.0,0.0,0.0
2024-04-08 01:09:00+00:00,5.2450000000000045,5.194999999999993,2,5.320000000000021,-0.12500000000002753,-0.5000000000001101,-1.0,0.49999999999988987,0.0,0.0,0.0,0.5000000000001101,0.49999999999988987,0.0,0.0,0.0,0.0
2024-04-08 01:27:00+00:00,5.2450000000000045,5.194999999999993,31,5.320000000000021,-0.12500000000002753,-0.5000000000001101,-1.0,0.49999999999988987,0.0,0.0,0.0,0.5000000000001101,0.49999999999988987,0.0,0.0,0.0,0.0
2024-04-08 01:28:00+00:00,5.2450000000000045,5.194999999999993,10,5.320000000000021,-0.12500000000002753,-0.5000000000001101,-1.0,0.49999999999988987,0.0,0.0,0.0,0.5000000000001101,0.49999999999988987,0.0,0.0,0.0,0.0
2024-04-08 01:32:00+00:00,5.2450000000000045,5.194999999999993,20,5.320000000000021,-0.12500000000002753,-0.5000000000001101,-1.0,0.49999999999988987,0.0,0.0,0.0,0.5000000000001101,0.49999999999988987,0.0,0.0,0.0,0.0
