time,effr_avg_jan,effr_avg_feb,effr_start_feb,effr_end_jan,volume,effr_start_jan,delta_effr,num_hikes,hikes_floor,hikes_decimal,prob_cut_100,prob_cut_75,prob_cut_50,prob_cut_25,prob_no_change,prob_hike_25,prob_hike_50,prob_hike_75,prob_hike_100
2023-10-15 22:00:00+00:00,5.415000000000006,5.420000000000002,5.420000000000002,5.420000000000002,92.0,5.4126190476190565,0.0073809523809451605,0.029523809523780642,0.0,0.029523809523780642,0.0,0.0,0.0,0.0,0.9704761904762194,0.029523809523780642,0.0,0.0,0.0
2023-10-15 22:12:00+00:00,5.415000000000006,5.420000000000002,5.420000000000002,5.420000000000002,37.0,5.4126190476190565,0.0073809523809451605,0.029523809523780642,0.0,0.029523809523780642,0.0,0.0,0.0,0.0,0.9704761904762194,0.029523809523780642,0.0,0.0,0.0
2023-10-15 22:45:00+00:00,5.415000000000006,5.420000000000002,5.420000000000002,5.420000000000002,6.0,5.4126190476190565,0.0073809523809451605,0.029523809523780642,0.0,0.029523809523780642,0.0,0.0,0.0,0.0,0.9704761904762194,0.029523809523780642,0.0,0.0,0.0
2023-10-16 00:25:00+00:00,5.415000000000006,5.420000000000002,5.420000000000002,5.420000000000002,6.0,5.4126190476190565,0.0073809523809451605,0.029523809523780642,0.0,0.029523809523780642,0.0,0.0,0.0,0.0,0.9704761904762194,0.029523809523780642,0.0,0.0,0.0
2023-10-16 06:55:00+00:00,5.420000000000002,5.424999999999997,5.424999999999997,5.424999999999997,217.0,5.417619047619052,0.0073809523809451605,0.029523809523780642,0.0,0.029523809523780642,0.0,0.0,0.0,0.0,0.9704761904762194,0.029523809523780642,0.0,0.0,0.0
2023-10-16 07:10:00+00:00,5.420000000000002,5.424999999999997,5.424999999999997,5.424999999999997,3.0,5.417619047619052,0.0073809523809451605,0.029523809523780642,0.0,0.029523809523780642,0.0,0.0,0.0,0.0,0.9704761904762194,0.029523809523780642,0.0,0.0,0.0
2023-10-16 10:02:00+00:00,5.420000000000002,5.424999999999997,5.424999999999997,5.424999999999997,621.0,5.417619047619052,0.0073809523809451605,0.029523809523780642,0.0,0.029523809523780642,0.0,0.0,0.0,0.0,0.9704761904762194,0.029523809523780642,0.0,0.0,0.0
2023-10-16 10:04:00+00:00,5.420000000000002,5.424999999999997,5.424999999999997,5.424999999999997,98.0,5.417619047619052,0.0073809523809451605,0.029523809523780642,0.0,0.029523809523780642,0.0,0.0,0.0,0.0,0.9704761904762194,0.029523809523780642,0.0,0.0,0.0
2023-10-16 11:29:00+00:00,5.420000000000002,5.424999999999997,5.424999999999997,5.424999999999997,200.0,5.417619047619052,0.0073809523809451605,0.029523809523780642,0.0,0.029523809523780642,0.0,0.0,0.0,0.0,0.9704761904762194,0.029523809523780642,0.0,0.0,0.0
2023-10-16 11:34:00+00:00,5.420000000000002,5.424999999999997,5.424999999999997,5.424999999999997,1.0,5.417619047619052,0.0073809523809451605,0.029523809523780642,0.0,0.029523809523780642,0.0,0.0,0.0,0.0,0.9704761904762194,0.029523809523780642,0.0,0.0,0.0
