event_date,contract,source_market,target_market,lag_minutes,f_stat,p_value,coef,coef_p_value,is_sig_5pct
2026-01-28,25bp_dec,CME,PM,1,5.706,0.016908,-0.007,0.016908,True
2026-01-28,25bp_dec,PM,CME,1,4.2782,0.038606,0.0043,0.038606,True
2026-01-28,25bp_dec,CME,PM,5,12.5107,0.000405,-0.0074,0.000405,True
2026-01-28,25bp_dec,PM,CME,5,6.9679,0.008299,0.0037,0.008299,True
2026-01-28,25bp_dec,CME,PM,30,2.7869,0.095039,0.002,0.095039,False
2026-01-28,25bp_dec,PM,CME,30,0.1316,0.716788,-0.0003,0.716788,False
2026-01-28,25bp_dec,CME,PM,60,34.8671,0.0,0.0057,0.0,True
2026-01-28,25bp_dec,PM,CME,60,0.1703,0.67981,0.0003,0.67981,False
2026-01-28,25bp_dec,CME,KAL,1,26.6849,0.0,0.0095,0.0,True
2026-01-28,25bp_dec,KAL,CME,1,1.5142,0.218494,0.004,0.218494,False
2026-01-28,25bp_dec,CME,KAL,5,21.2251,4e-06,0.006,4e-06,True
2026-01-28,25bp_dec,KAL,CME,5,0.9081,0.340608,0.0022,0.340608,False
2026-01-28,25bp_dec,CME,KAL,30,14.0368,0.000179,0.0028,0.000179,True
2026-01-28,25bp_dec,KAL,CME,30,1.2243,0.268528,0.0015,0.268528,False
2026-01-28,25bp_dec,CME,KAL,60,28.4031,0.0,0.0033,0.0,True
2026-01-28,25bp_dec,KAL,CME,60,1.9445,0.163182,0.0015,0.163182,False
2026-01-28,25bp_dec,PM,KAL,1,12.7227,0.000361,0.0056,0.000361,True
2026-01-28,25bp_dec,KAL,PM,1,0.5729,0.449094,0.0029,0.449094,False
2026-01-28,25bp_dec,PM,KAL,5,38.9299,0.0,0.0065,0.0,True
2026-01-28,25bp_dec,KAL,PM,5,0.0834,0.772721,0.0008,0.772721,False
2026-01-28,25bp_dec,PM,KAL,30,40.0913,0.0,0.0038,0.0,True
2026-01-28,25bp_dec,KAL,PM,30,5.4029,0.020104,0.0038,0.020104,True
2026-01-28,25bp_dec,PM,KAL,60,105.828,0.0,0.005,0.0,True
