event_date,contract,source_market,target_market,lag_minutes,f_stat,p_value,coef,coef_p_value,is_sig_5pct
2026-01-28,0bp,CME,PM,1,0.782,0.376518,0.0028,0.376518,False
2026-01-28,0bp,PM,CME,1,1.3075,0.252844,-0.0022,0.252844,False
2026-01-28,0bp,CME,PM,5,18.7266,1.5e-05,0.0099,1.5e-05,True
2026-01-28,0bp,PM,CME,5,1.6571,0.19799,-0.0016,0.19799,False
2026-01-28,0bp,CME,PM,30,22.915,2e-06,0.0063,2e-06,True
2026-01-28,0bp,PM,CME,30,5.3915,0.020236,0.0017,0.020236,True
2026-01-28,0bp,CME,PM,60,44.4582,0.0,0.007,0.0,True
2026-01-28,0bp,PM,CME,60,9.8902,0.001662,0.0019,0.001662,True
2026-01-28,0bp,CME,KAL,1,3.8695,0.049174,0.0047,0.049174,True
2026-01-28,0bp,KAL,CME,1,1.0935,0.295705,-0.0026,0.295705,False
2026-01-28,0bp,CME,KAL,5,8.0713,0.004498,0.0048,0.004498,True
2026-01-28,0bp,KAL,CME,5,2.873,0.090078,-0.0031,0.090078,False
2026-01-28,0bp,CME,KAL,30,43.7225,0.0,0.0064,0.0,True
2026-01-28,0bp,KAL,CME,30,3.7829,0.051781,-0.002,0.051781,False
2026-01-28,0bp,CME,KAL,60,60.1888,0.0,0.0061,0.0,True
2026-01-28,0bp,KAL,CME,60,0.9501,0.329683,0.0008,0.329683,False
2026-01-28,0bp,PM,KAL,1,27.415,0.0,0.0097,0.0,True
2026-01-28,0bp,KAL,PM,1,3.5903,0.05812,0.0062,0.05812,False
2026-01-28,0bp,PM,KAL,5,45.1753,0.0,0.0083,0.0,True
2026-01-28,0bp,KAL,PM,5,4.5948,0.032071,0.0051,0.032071,True
2026-01-28,0bp,PM,KAL,30,32.2708,0.0,0.0041,0.0,True
2026-01-28,0bp,KAL,PM,30,6.7228,0.009519,0.0035,0.009519,True
2026-01-28,0bp,PM,KAL,60,44.2482,0.0,0.004,0.0,True
2026-01-28,0bp,KAL,PM,60,16.473,4.9e-05,0.0041,4.9e-05,True
2026-03-18,0bp,CME,PM,1,1.938,0.16389,0.0012,0.16389,False
2026-03-18,0bp,PM,CME,1,0.4474,0.503565,-0.0035,0.503565,False
2026-03-18,0bp,CME,PM,5,5.8419,0.01565,0.0015,0.01565,True
2026-03-18,0bp,PM,CME,5,0.8735,0.349988,-0.0033,0.349988,False
2026-03-18,0bp,CME,PM,30,10.6443,0.001104,0.0013,0.001104,True
2026-03-18,0bp,PM,CME,30,11.9024,0.000561,0.0062,0.000561,True
2026-03-18,0bp,CME,PM,60,28.2263,0.0,0.0019,0.0,True
2026-03-18,0bp,PM,CME,60,15.0547,0.000104,0.0052,0.000104,True
2026-03-18,0bp,CME,KAL,1,0.784,0.375923,0.0006,0.375923,False
2026-03-18,0bp,KAL,CME,1,0.5023,0.478503,0.005,0.478503,False
2026-03-18,0bp,CME,KAL,5,4.6576,0.030917,0.001,0.030917,True
2026-03-18,0bp,KAL,CME,5,0.9331,0.334057,0.0045,0.334057,False
2026-03-18,0bp,CME,KAL,30,3.1765,0.074707,0.0005,0.074707,False
2026-03-18,0bp,KAL,CME,30,1.743,0.186764,0.0032,0.186764,False
2026-03-18,0bp,CME,KAL,60,7.6529,0.005669,0.0007,0.005669,True
2026-03-18,0bp,KAL,CME,60,4.3104,0.037881,0.0038,0.037881,True
2026-03-18,0bp,PM,KAL,1,0.5023,0.4785,0.0011,0.4785,False
2026-03-18,0bp,KAL,PM,1,23.73,1e-06,-0.0142,1e-06,True
2026-03-18,0bp,PM,KAL,5,2.0366,0.153555,0.0015,0.153555,False
2026-03-18,0bp,KAL,PM,5,2.3569,0.124735,-0.0029,0.124735,False
2026-03-18,0bp,PM,KAL,30,17.4825,2.9e-05,0.0023,2.9e-05,True
