created_time,count,count_fp,no_price,no_price_dollars,price,taker_side,ticker,trade_id,yes_price,yes_price_dollars
2023-12-13 20:35:55.159267+00:00,25,25.00,30,0.3000,0.7,no,FEDDECISION-24JAN31-H0,b301baf1-5339-4448-be69-489b96a97fbc,0.7,0.7000
2023-12-14 18:45:20.781367+00:00,5,5.00,3,0.0300,0.97,yes,FEDDECISION-24JAN31-H0,a1bc4dbb-c049-40ce-93a4-f5010bb035f2,0.97,0.9700
2023-12-16 17:16:01.013451+00:00,1000,1000.00,2,0.0200,0.98,yes,FEDDECISION-24JAN31-H0,8ff17442-3bed-4aa3-bb03-c9ed0e867e3c,0.98,0.9800
2023-12-16 17:16:01.013451+00:00,500,500.00,3,0.0300,0.97,yes,FEDDECISION-24JAN31-H0,562c590b-b606-4d01-94f5-d5264278267e,0.97,0.9700
2023-12-17 01:52:47.571080+00:00,120,120.00,2,0.0200,0.98,no,FEDDECISION-24JAN31-H0,2d7705cc-aaea-4c63-a482-2dfec7df290e,0.98,0.9800
2023-12-18 23:50:41.742453+00:00,5,5.00,6,0.0600,0.94,no,FEDDECISION-24JAN31-H0,459c0d16-ab29-4843-b9aa-31f46a053538,0.94,0.9400
2023-12-19 15:14:09.645383+00:00,5,5.00,4,0.0400,0.96,yes,FEDDECISION-24JAN31-H0,5d686ac0-2465-4800-be7d-bce18c74db7a,0.96,0.9600
2023-12-21 19:45:41.213051+00:00,120,120.00,2,0.0200,0.98,yes,FEDDECISION-24JAN31-H0,f094246c-f68e-43d2-a718-2dad79a51d9c,0.98,0.9800
2023-12-23 23:00:24.186191+00:00,624,624.00,3,0.0300,0.97,no,FEDDECISION-24JAN31-H0,67b69ce9-3751-4cc5-be9c-ef7185ef1602,0.97,0.9700
2023-12-27 22:42:47.902901+00:00,10,10.00,2,0.0200,0.98,yes,FEDDECISION-24JAN31-H0,53f1797e-3abc-485e-b68a-12003a71fcb0,0.98,0.9800
2023-12-28 03:19:26.761106+00:00,62,62.00,3,0.0300,0.97,no,FEDDECISION-24JAN31-H0,e1e1b7d0-22c6-4871-9390-5507c72a73e5,0.97,0.9700
2023-12-28 20:10:24.862942+00:00,25,25.00,2,0.0200,0.98,yes,FEDDECISION-24JAN31-H0,06525af8-9606-48da-a244-c3712c739b80,0.98,0.9800
2023-12-28 20:16:46.796827+00:00,20,20.00,2,0.0200,0.98,yes,FEDDECISION-24JAN31-H0,dc18a6c7-0976-4642-ae9b-a6441aeb4518,0.98,0.9800
2023-12-28 21:50:27.772578+00:00,101,101.00,2,0.0200,0.98,yes,FEDDECISION-24JAN31-H0,dce21140-387c-4ff5-a334-fa62401e9b39,0.98,0.9800
2024-01-01 15:28:05.269486+00:00,814,814.00,3,0.0300,0.97,no,FEDDECISION-24JAN31-H0,4c938f91-2feb-4970-8670-18095f1e0483,0.97,0.9700
2024-01-01 15:28:10.650367+00:00,1800,1800.00,3,0.0300,0.97,yes,FEDDECISION-24JAN31-H0,950a498a-5115-41bf-85f4-10e6a5a961bf,0.97,0.9700
2024-01-01 15:34:02.730520+00:00,6000,6000.00,4,0.0400,0.96,no,FEDDECISION-24JAN31-H0,d46edb24-70c4-436d-aa16-7ab36197b18d,0.96,0.9600
2024-01-01 15:34:13.761285+00:00,3000,3000.00,4,0.0400,0.96,no,FEDDECISION-24JAN31-H0,8394a8d7-ff77-4182-9228-6a5fd72faf4a,0.96,0.9600
2024-01-01 20:30:40.274870+00:00,3000,3000.00,4,0.0400,0.96,no,FEDDECISION-24JAN31-H0,43174f28-cfc2-46c6-bd32-de26c9d37d0c,0.96,0.9600
2024-01-01 20:30:47.323299+00:00,456,456.00,4,0.0400,0.96,yes,FEDDECISION-24JAN31-H0,710623a9-59b2-4e76-95a6-55f662e482dc,0.96,0.9600
2024-01-01 21:30:05.763093+00:00,1234,1234.00,4,0.0400,0.96,yes,FEDDECISION-24JAN31-H0,d0f3ef02-f393-4e4e-871a-004d6d6430da,0.96,0.9600
2024-01-01 21:42:05.519943+00:00,500,500.00,4,0.0400,0.96,no,FEDDECISION-24JAN31-H0,d472fba9-da5f-459c-9f62-af2786d68de5,0.96,0.9600
2024-01-02 18:22:41.799742+00:00,2734,2734.00,4,0.0400,0.96,no,FEDDECISION-24JAN31-H0,6bdcf384-9a16-486f-a781-b434d7e4f3b1,0.96,0.9600
2024-01-02 18:27:27.972481+00:00,1000,1000.00,5,0.0500,0.95,no,FEDDECISION-24JAN31-H0,d096e256-1a59-4b9c-a596-419f1066c805,0.95,0.9500
2024-01-02 18:27:27.972481+00:00,1000,1000.00,5,0.0500,0.95,no,FEDDECISION-24JAN31-H0,0976d7ea-9521-4896-94ae-81632adea05b,0.95,0.9500
2024-01-02 20:44:09.005431+00:00,10,10.00,3,0.0300,0.97,yes,FEDDECISION-24JAN31-H0,c6751bb8-e21e-4061-8e0b-26a680e21fd0,0.97,0.9700
2024-01-02 22:43:17.817046+00:00,2000,2000.00,5,0.0500,0.95,no,FEDDECISION-24JAN31-H0,34b35c91-05f4-42e4-95cc-6b840ac30ac0,0.95,0.9500
2024-01-02 22:43:17.817046+00:00,1500,1500.00,5,0.0500,0.95,no,FEDDECISION-24JAN31-H0,ec660632-2268-4666-a1b2-a29f8b6cadc9,0.95,0.9500
2024-01-02 22:55:03.038403+00:00,10,10.00,4,0.0400,0.96,yes,FEDDECISION-24JAN31-H0,d2f1f3c8-f2de-4860-a519-737b9a637ce1,0.96,0.9600
2024-01-03 19:41:30.939144+00:00,2858,2858.00,4,0.0400,0.96,yes,FEDDECISION-24JAN31-H0,0b36d829-9e41-4a0f-91c3-4f92933cdd1d,0.96,0.9600
2024-01-03 19:41:30.939144+00:00,942,942.00,4,0.0400,0.96,yes,FEDDECISION-24JAN31-H0,1ac59ce2-b8d4-4a8b-bf45-8c10d7393251,0.96,0.9600
2024-01-03 19:41:30.939144+00:00,200,200.00,4,0.0400,0.96,yes,FEDDECISION-24JAN31-H0,8353f3ae-9671-4486-baec-d0f0a86251d4,0.96,0.9600
2024-01-03 19:42:12.999812+00:00,598,598.00,4,0.0400,0.96,yes,FEDDECISION-24JAN31-H0,1a40831b-9501-422c-88fa-6a0f0d3a4c98,0.96,0.9600
2024-01-03 19:42:12.999812+00:00,1902,1902.00,4,0.0400,0.96,yes,FEDDECISION-24JAN31-H0,f8e5ee30-a92e-4121-92e6-831e051a7148,0.96,0.9600
2024-01-04 00:23:11.842893+00:00,1171,1171.00,4,0.0400,0.96,no,FEDDECISION-24JAN31-H0,d8545727-7e27-4e5c-8da1-23fd97eb8840,0.96,0.9600
2024-01-04 15:58:35.120928+00:00,2035,2035.00,4,0.0400,0.96,no,FEDDECISION-24JAN31-H0,e275d719-be71-48ac-9071-d58169cb9e8f,0.96,0.9600
2024-01-04 15:58:40.293976+00:00,1081,1081.00,4,0.0400,0.96,no,FEDDECISION-24JAN31-H0,650c4a61-a3a5-4cdd-b762-1dfe241c24af,0.96,0.9600
2024-01-04 15:58:40.293976+00:00,794,794.00,4,0.0400,0.96,no,FEDDECISION-24JAN31-H0,e71e03d0-7c4f-4af5-9f80-131880399fac,0.96,0.9600
2024-01-04 15:59:34.069095+00:00,3419,3419.00,4,0.0400,0.96,no,FEDDECISION-24JAN31-H0,cf0e0c60-72b2-4a64-951c-e4ff5755f563,0.96,0.9600
2024-01-04 20:31:51.911939+00:00,3592,3592.00,3,0.0300,0.97,yes,FEDDECISION-24JAN31-H0,d3c425bb-48a0-4922-8f4d-ef682890d09b,0.97,0.9700
