created_time,count,no_price_dollars,taker_side,ticker,trade_id,yes_price_dollars
2024-07-30 16:55:26.387945+00:00,5000.00,0.2400,no,FEDDECISION-24SEP-C25,cc96d93e-3cbf-432a-8b65-4a1e3dce3384,0.7600
2024-07-30 16:57:44.483563+00:00,5000.00,0.2300,yes,FEDDECISION-24SEP-C25,bf3bd8ac-f6f1-4b43-9ceb-cca531491a01,0.7700
2024-07-30 17:18:54.690780+00:00,5000.00,0.2500,no,FEDDECISION-24SEP-C25,99f573e4-d95c-499d-9ca7-3ee94f9ead80,0.7500
2024-07-30 23:52:43.954021+00:00,53.00,0.2300,yes,FEDDECISION-24SEP-C25,52cf26cb-4887-44d7-86e0-b2a7689efd70,0.7700
2024-07-31 03:31:51.561524+00:00,12.00,0.2300,yes,FEDDECISION-24SEP-C25,9e5c891d-b6ee-4188-9fe4-cca8aac41bde,0.7700
2024-07-31 16:26:05.879767+00:00,32.00,0.2500,yes,FEDDECISION-24SEP-C25,83ec1048-744c-4887-bc44-4cedd8097ada,0.7500
2024-07-31 18:10:19.974517+00:00,66.00,0.2600,yes,FEDDECISION-24SEP-C25,6dcd2c7b-dff2-499a-81cc-b71b3b6ffe13,0.7400
2024-07-31 19:00:23.057055+00:00,790.00,0.3500,no,FEDDECISION-24SEP-C25,26bd7d67-37ee-42aa-91cf-fb201976b37b,0.6500
2024-07-31 19:05:23.961348+00:00,4.00,0.3000,yes,FEDDECISION-24SEP-C25,f8871ce2-1586-4c7e-8fbb-0d9748290a33,0.7000
2024-07-31 19:05:23.961348+00:00,31.00,0.3000,yes,FEDDECISION-24SEP-C25,408a3864-d99f-494b-bd20-fd6ea7bb0699,0.7000
2024-07-31 19:11:43.713999+00:00,240.00,0.2400,yes,FEDDECISION-24SEP-C25,8340e058-99ef-4d90-848d-72ba82bfdc4f,0.7600
2024-07-31 19:11:43.713999+00:00,10.00,0.2500,yes,FEDDECISION-24SEP-C25,ab82d80d-e404-432f-81d3-6198a5cafe42,0.7500
2024-07-31 19:12:02.026139+00:00,490.00,0.2400,yes,FEDDECISION-24SEP-C25,9213b604-2ba2-4c32-9904-65a11cd23a82,0.7600
2024-07-31 19:12:02.026139+00:00,10.00,0.2500,yes,FEDDECISION-24SEP-C25,e02c88d9-5ef9-45cd-a90b-a5a41325d90f,0.7500
2024-07-31 19:22:52.477160+00:00,5444.00,0.2600,yes,FEDDECISION-24SEP-C25,d8ae8b2a-70af-48b4-ae93-5c58ed07794e,0.7400
2024-07-31 19:27:07.223276+00:00,250.00,0.2900,no,FEDDECISION-24SEP-C25,6c37123f-87dd-42f5-bb2b-4427a697d00d,0.7100
2024-07-31 19:27:17.386810+00:00,520.00,0.3000,no,FEDDECISION-24SEP-C25,228240af-5135-4386-bd2d-5d1f477f516f,0.7000
2024-07-31 19:42:41.057268+00:00,200.00,0.2500,yes,FEDDECISION-24SEP-C25,8fd2dd14-0db5-440c-808e-b18d97627ab5,0.7500
2024-07-31 19:46:26.164909+00:00,5.00,0.2500,yes,FEDDECISION-24SEP-C25,eefb6ef0-044c-4f3a-8e43-e7416daf7e6a,0.7500
2024-07-31 20:30:51.867514+00:00,100.00,0.2500,yes,FEDDECISION-24SEP-C25,f76428f9-c6a4-46ab-8863-5c632ad4f243,0.7500
2024-07-31 21:18:46.857880+00:00,1000.00,0.2500,yes,FEDDECISION-24SEP-C25,9e14e0de-30fb-4763-9e33-a630b8b36465,0.7500
2024-08-01 12:20:22.701495+00:00,4000.00,0.2600,no,FEDDECISION-24SEP-C25,20807d1f-0bc0-4bb7-80fd-77e8b5143d55,0.7400
2024-08-01 12:22:29.197486+00:00,1000.00,0.2700,no,FEDDECISION-24SEP-C25,3e3a216d-9a58-4742-9f7f-8f85c8e22627,0.7300
2024-08-01 14:19:12.467341+00:00,200.00,0.2600,no,FEDDECISION-24SEP-C25,b1f010f3-d814-439a-bcd8-18526fce3ada,0.7400
2024-08-01 14:31:40.922149+00:00,500.00,0.2900,no,FEDDECISION-24SEP-C25,944f37e9-7df8-4466-be47-4db9f079b189,0.7100
2024-08-01 14:48:43.281783+00:00,13.00,0.3000,yes,FEDDECISION-24SEP-C25,0de28696-7a3f-4b1a-8353-66c31ded32b4,0.7000
2024-08-01 16:26:01.347218+00:00,18.00,0.2700,no,FEDDECISION-24SEP-C25,18f5022d-8d04-4234-9092-352feffb6359,0.7300
2024-08-01 16:26:26.666189+00:00,1800.00,0.2800,no,FEDDECISION-24SEP-C25,af23bce0-4548-42e2-8278-18fcc1457bb0,0.7200
2024-08-01 18:54:13.700321+00:00,10.00,0.2700,no,FEDDECISION-24SEP-C25,10118654-4884-4d2c-882f-6c1191290fc3,0.7300
2024-08-01 18:56:00.303515+00:00,1000.00,0.2900,no,FEDDECISION-24SEP-C25,f00adb82-66c0-4315-a53b-f9210b0bdab4,0.7100
2024-08-01 19:31:50.272013+00:00,555.00,0.3300,no,FEDDECISION-24SEP-C25,73386836-31aa-4066-aa12-c57368b760ec,0.6700
2024-08-01 19:43:07.492630+00:00,100.00,0.3100,yes,FEDDECISION-24SEP-C25,a24a5ad9-e46b-4d04-8483-bb8b423281e5,0.6900
2024-08-01 19:46:12.551889+00:00,1800.00,0.3200,no,FEDDECISION-24SEP-C25,840193a4-ba91-4028-b5d9-025b6282ff46,0.6800
2024-08-01 19:46:12.551889+00:00,300.00,0.3100,no,FEDDECISION-24SEP-C25,ba4a767d-6b86-47a1-baae-a0b096248746,0.6900
2024-08-01 20:16:33.965503+00:00,330.00,0.3700,no,FEDDECISION-24SEP-C25,6a7ead96-cd84-4c5d-a6ea-3a7d3210637d,0.6300
2024-08-01 21:25:02.719635+00:00,8.00,0.3100,yes,FEDDECISION-24SEP-C25,387632fe-afe1-4a8f-b43b-6f5d03a1bc01,0.6900
2024-08-01 21:25:02.719635+00:00,6.00,0.3200,yes,FEDDECISION-24SEP-C25,ef591503-8be9-4734-b0a9-14b6fa2a3282,0.6800
2024-08-01 21:35:23.953296+00:00,45.00,0.3100,yes,FEDDECISION-24SEP-C25,3ce1e2ba-1282-4cef-ae43-ddfe0cc48599,0.6900
2024-08-01 22:21:58.945603+00:00,200.00,0.3100,yes,FEDDECISION-24SEP-C25,c7ed4737-d02a-4d82-9891-5e4891f65b4a,0.6900
2024-08-02 00:13:25.475797+00:00,47.00,0.3100,yes,FEDDECISION-24SEP-C25,b34e27a6-742c-43f8-89d2-176c29ec3bb8,0.6900
2024-08-02 00:17:41.659875+00:00,13.00,0.2600,yes,FEDDECISION-24SEP-C25,57fb2d45-8a61-495e-a36d-0c6afd9067a7,0.7400
2024-08-02 01:15:33.998236+00:00,53.00,0.2600,yes,FEDDECISION-24SEP-C25,c6269ff4-e4b1-4046-95a6-cf94c893c48f,0.7400
2024-08-02 12:00:01.814148+00:00,6.00,0.3400,no,FEDDECISION-24SEP-C25,d911367e-5268-41dd-96a5-8c119b0421b3,0.6600
2024-08-02 12:02:13.127808+00:00,1000.00,0.3800,yes,FEDDECISION-24SEP-C25,a7730116-00d4-485f-a90a-93a2e6df638b,0.6200
2024-08-02 12:05:11.003030+00:00,800.00,0.3900,no,FEDDECISION-24SEP-C25,95ce3740-e1a8-47b6-a42c-5b33072527a5,0.6100
2024-08-02 12:11:24.177834+00:00,1500.00,0.3900,no,FEDDECISION-24SEP-C25,3beb8767-9df9-4ba6-be78-3ae3f230da08,0.6100
2024-08-02 12:31:19.307718+00:00,1.00,0.6700,yes,FEDDECISION-24SEP-C25,342cc8d5-13d0-4d51-b4b4-10df889aaaff,0.3300
2024-08-02 12:31:32.147818+00:00,5.00,0.5800,yes,FEDDECISION-24SEP-C25,fbc446c4-2e93-4867-b857-e3948c6ee87d,0.4200
2024-08-02 12:31:32.147818+00:00,2.00,0.4500,yes,FEDDECISION-24SEP-C25,f6b2742e-0e4e-41ce-8ece-27d65f651db1,0.5500
2024-08-02 12:31:32.147818+00:00,82.00,0.5300,yes,FEDDECISION-24SEP-C25,c49422b6-12c4-488f-b7c2-88c435159b9c,0.4700
2024-08-02 12:31:32.147818+00:00,2.00,0.4600,yes,FEDDECISION-24SEP-C25,9ba83a6d-905b-4688-8c48-cb53cdeec8fe,0.5400
2024-08-02 12:31:32.147818+00:00,20.00,0.5700,yes,FEDDECISION-24SEP-C25,8b9f9d23-20a0-4ea3-951d-8ae520ee4834,0.4300
2024-08-02 12:31:32.147818+00:00,66.00,0.5400,yes,FEDDECISION-24SEP-C25,73f1711e-f714-4c93-96a4-e0211528b6d8,0.4600
2024-08-02 12:31:32.147818+00:00,2.00,0.5200,yes,FEDDECISION-24SEP-C25,6680a100-42d3-442c-ae84-d029817f4368,0.4800
2024-08-02 12:31:32.147818+00:00,41.00,0.5500,yes,FEDDECISION-24SEP-C25,3e30867b-a64e-4c81-98ab-a2bf0bce553a,0.4500
2024-08-02 12:31:32.147818+00:00,2.00,0.5300,yes,FEDDECISION-24SEP-C25,33efdca7-fb10-4f19-ad0f-b869aba6b0be,0.4700
2024-08-02 12:31:32.147818+00:00,33.00,0.5600,yes,FEDDECISION-24SEP-C25,2049b449-f3b7-4e47-be61-9fe7d1bd8903,0.4400
2024-08-02 12:31:32.147818+00:00,133.00,0.5200,yes,FEDDECISION-24SEP-C25,1dfc64e3-f9a1-4fb9-86ff-1a5560fac6e2,0.4800
2024-08-02 12:31:32.147818+00:00,2.00,0.6200,yes,FEDDECISION-24SEP-C25,6923b2ff-4229-45a0-a3b1-12b7b3cc2a7b,0.3800
2024-08-02 12:47:43.978699+00:00,15.00,0.4400,no,FEDDECISION-24SEP-C25,8251c9db-e9cf-40c6-9263-f705b71bd1c6,0.5600
2024-08-02 13:04:09.094207+00:00,4.00,0.5200,no,FEDDECISION-24SEP-C25,ad83842c-ee30-4b75-a83a-6423704204c4,0.4800
2024-08-02 13:04:09.094207+00:00,20.00,0.5400,no,FEDDECISION-24SEP-C25,f28df2ba-a7c6-4927-b3d2-ec99cd32e53b,0.4600
2024-08-02 13:04:09.094207+00:00,44.00,0.5500,no,FEDDECISION-24SEP-C25,e5ff3140-1b85-4ddc-a762-41d04b325ead,0.4500
2024-08-02 13:04:09.094207+00:00,21.00,0.5300,no,FEDDECISION-24SEP-C25,d8583126-8a12-4d2c-8a40-09ae6364db38,0.4700
2024-08-02 13:04:09.094207+00:00,5.00,0.5300,no,FEDDECISION-24SEP-C25,d42b5440-aa08-41f6-bbe5-434f93ddd6f4,0.4700
2024-08-02 13:04:09.094207+00:00,2.00,0.5500,no,FEDDECISION-24SEP-C25,d2cda397-a198-4e8c-a3b3-9f6e3fdfa41c,0.4500
2024-08-02 13:04:09.094207+00:00,165.00,0.4500,no,FEDDECISION-24SEP-C25,a952d150-c3ef-4a0c-bdfc-9d41e666dc74,0.5500
2024-08-02 13:04:09.094207+00:00,33.00,0.5500,no,FEDDECISION-24SEP-C25,fefa9672-15e9-4cfb-b967-83ab49013a7a,0.4500
2024-08-02 13:04:09.094207+00:00,15.00,0.5300,no,FEDDECISION-24SEP-C25,8e58d173-95eb-45c3-bf64-62a771d45be7,0.4700
2024-08-02 13:04:09.094207+00:00,18.00,0.5500,no,FEDDECISION-24SEP-C25,35a755af-8e9b-4bef-87d6-245e4afd199d,0.4500
2024-08-02 13:04:09.094207+00:00,8.00,0.5500,no,FEDDECISION-24SEP-C25,4560985b-d4a7-4604-bc40-81696c050f19,0.4500
2024-08-02 13:04:09.094207+00:00,13.00,0.5400,no,FEDDECISION-24SEP-C25,5148aedb-3b0c-4d4f-af3b-083b247b6b0f,0.4600
