created_time,count,no_price_dollars,taker_side,ticker,trade_id,yes_price
2024-09-17 18:46:39.347714+00:00,100,0.34,yes,FEDDECISION-24NOV-C25,9ddcce81-9d28-49d9-82eb-dda9c7c64a03,0.66
2024-09-17 20:43:11.774206+00:00,53,0.47,no,FEDDECISION-24NOV-C25,8238c374-9393-4f72-ad8a-07aeee6b5193,0.53
2024-09-17 20:46:20.151511+00:00,2,0.23,yes,FEDDECISION-24NOV-C25,3997fd62-8fc1-4f3f-b19b-bd3e1faf5390,0.77
2024-09-17 20:46:20.151511+00:00,70,0.34,yes,FEDDECISION-24NOV-C25,fcbe8eda-b7c9-475a-9d5d-8839f2729615,0.66
2024-09-17 20:46:20.151511+00:00,3,0.22,yes,FEDDECISION-24NOV-C25,f803988f-45eb-4e80-ac50-e2e2fe08695d,0.78
2024-09-17 20:46:20.151511+00:00,1,0.25,yes,FEDDECISION-24NOV-C25,f7e1db99-c9f8-43b1-ac2d-70e3c37b1a5b,0.75
2024-09-17 20:46:20.151511+00:00,30,0.23,yes,FEDDECISION-24NOV-C25,d99ad4f6-d610-4448-bcc3-17bb9c9f6be1,0.77
2024-09-17 20:46:20.151511+00:00,7,0.26,yes,FEDDECISION-24NOV-C25,d7b7ff92-266e-455b-8c2f-fa200a718f98,0.74
2024-09-17 20:46:20.151511+00:00,27,0.24,yes,FEDDECISION-24NOV-C25,d2935060-79c4-4518-813b-1aee402cb72f,0.76
2024-09-17 20:46:20.151511+00:00,3,0.2,yes,FEDDECISION-24NOV-C25,c880f16d-7a42-4d8a-a728-d128960b2516,0.8
2024-09-17 20:46:20.151511+00:00,21,0.25,yes,FEDDECISION-24NOV-C25,0486c094-9dca-4c5b-945d-5b081d2c4d17,0.75
2024-09-17 20:46:20.151511+00:00,3,0.21,yes,FEDDECISION-24NOV-C25,b77e0dd3-ea40-4dc6-948f-29bfa8de476c,0.79
2024-09-17 20:46:20.151511+00:00,35,0.21,yes,FEDDECISION-24NOV-C25,4090e65f-b11e-4023-878f-418ad0df8bfb,0.79
