created_time,count,no_price_dollars,taker_side,ticker,trade_id,yes_price
2023-12-13 19:42:41.351522+00:00,15,0.6,yes,FEDDECISION-24JAN31-C25,48b5e007-78d8-4969-a5ac-1d67ebdbe987,0.4
2023-12-13 20:36:41.720415+00:00,9,0.9,yes,FEDDECISION-24JAN31-C25,59678d12-3cd3-414c-aeb5-4b55b84613e7,0.1
2023-12-14 21:18:19.855311+00:00,47,0.91,yes,FEDDECISION-24JAN31-C25,aeedd1c3-c906-49b6-a183-d12ae643ca32,0.09
2023-12-16 13:08:03.660320+00:00,4,0.94,yes,FEDDECISION-24JAN31-C25,82148e33-313b-440a-ad98-4a6b0d24fc3e,0.06
2023-12-17 01:52:47.572452+00:00,120,0.99,no,FEDDECISION-24JAN31-C25,1454f584-6a88-4a62-aa6f-61eda04ce587,0.01
2023-12-20 19:20:02.008954+00:00,46,0.98,yes,FEDDECISION-24JAN31-C25,aa1de466-a816-41f0-bb9d-b5cd8edb8913,0.02
2023-12-20 21:58:24.896605+00:00,374,0.98,yes,FEDDECISION-24JAN31-C25,5f8d0a2d-fe51-4f62-8abc-85e714a171f8,0.02
2023-12-22 18:04:52.319943+00:00,935,0.99,yes,FEDDECISION-24JAN31-C25,93ca47e0-90fb-496c-b2d3-82247a8b2cfe,0.01
2023-12-25 23:15:22.862442+00:00,5920,0.98,yes,FEDDECISION-24JAN31-C25,3378d2d0-8add-4396-83bf-71b13077b86f,0.02
2023-12-25 23:15:22.862442+00:00,80,0.98,yes,FEDDECISION-24JAN31-C25,9802b991-cd69-46e0-96db-1bc5a48533e6,0.02
2023-12-26 00:27:12.940882+00:00,23,0.98,yes,FEDDECISION-24JAN31-C25,f30e7c93-e81e-4547-a6d8-4ac5dee19730,0.02
2023-12-26 00:52:25.707149+00:00,233,0.98,yes,FEDDECISION-24JAN31-C25,18685908-7c45-42a5-a409-ba3da9465ad3,0.02
2023-12-28 00:41:27.924071+00:00,6000,0.98,yes,FEDDECISION-24JAN31-C25,35445086-8a14-4c2f-9511-03a9376a6589,0.02
2023-12-28 00:42:02.038513+00:00,6000,0.98,yes,FEDDECISION-24JAN31-C25,388d1611-86ad-4c2c-a176-5a8f1929ca61,0.02
2023-12-28 03:31:17.021659+00:00,312,0.97,yes,FEDDECISION-24JAN31-C25,95e94054-f277-4e1e-ae59-88b2f141f16b,0.03
2023-12-28 18:12:46.113790+00:00,62,0.97,yes,FEDDECISION-24JAN31-C25,80832024-ce41-48e1-8dd7-f0800c49971d,0.03
2024-01-02 16:58:05.983100+00:00,2000,0.98,yes,FEDDECISION-24JAN31-C25,b40c4688-1dd3-460d-8948-a373b77b6977,0.02
2024-01-02 16:58:05.983100+00:00,6000,0.97,yes,FEDDECISION-24JAN31-C25,8d9a3cd0-22cb-4ae1-8690-a9a0c3865c44,0.03
2024-01-02 18:59:53.370682+00:00,23,0.96,yes,FEDDECISION-24JAN31-C25,cca2ab71-f2b3-4500-acf0-8557b9e40017,0.04
2024-01-03 00:23:20.924560+00:00,23,0.96,yes,FEDDECISION-24JAN31-C25,92cccdcd-da44-4560-9c73-0c55d399499f,0.04
2024-01-03 03:19:44.803803+00:00,23,0.97,no,FEDDECISION-24JAN31-C25,96465e68-41a6-4662-84be-554ec9b920b2,0.03
2024-01-03 03:59:00.587739+00:00,117,0.96,yes,FEDDECISION-24JAN31-C25,b3cd531d-2bfe-4f88-8947-3b4a3aa02d4c,0.04
2024-01-03 20:00:15.009872+00:00,666,0.97,no,FEDDECISION-24JAN31-C25,f160338c-8c96-4b53-8f3c-21e23b68a29b,0.03
2024-01-03 23:52:22.593874+00:00,23,0.96,yes,FEDDECISION-24JAN31-C25,4311cb28-e12a-4018-b305-db658c55a9c8,0.04
2024-01-04 15:58:35.042420+00:00,1542,0.96,yes,FEDDECISION-24JAN31-C25,32ca40db-64dc-45f0-a68d-4bacf12f9ba8,0.04
2024-01-04 15:58:35.042420+00:00,100,0.96,yes,FEDDECISION-24JAN31-C25,462ff772-cc52-4e09-b893-52d9680d5f7f,0.04
2024-01-04 15:58:35.042420+00:00,1228,0.96,yes,FEDDECISION-24JAN31-C25,7ef7a94e-2442-44f9-b384-8a4495c2cd87,0.04
2024-01-04 15:58:35.042420+00:00,109,0.96,yes,FEDDECISION-24JAN31-C25,a43f1bfa-0c0e-4a93-8c35-8deec5955d56,0.04
2024-01-04 15:58:35.042420+00:00,2035,0.96,yes,FEDDECISION-24JAN31-C25,f3170bbe-c3c0-4f69-8c93-18a811e1a581,0.04
2024-01-04 16:23:03.407654+00:00,100,0.97,no,FEDDECISION-24JAN31-C25,dc281d06-b6ff-4269-99cf-d4b1db5d4e5b,0.03
2024-01-05 13:34:44.922901+00:00,935,0.98,no,FEDDECISION-24JAN31-C25,c579e593-79ec-471c-9a55-c5eb8ebc64fa,0.02
2024-01-05 13:36:53.522826+00:00,1065,0.98,no,FEDDECISION-24JAN31-C25,f3e9ede6-e27b-474a-a1ee-ac7f8f1341b0,0.02
2024-01-05 13:49:35.843844+00:00,2025,0.98,yes,FEDDECISION-24JAN31-C25,a1176ba8-d726-4db9-a00c-3ad0910d3b16,0.02
2024-01-05 13:49:46.182257+00:00,675,0.98,yes,FEDDECISION-24JAN31-C25,16c01c83-4c20-4dd9-8af6-656b31b6d4ec,0.02
2024-01-05 13:52:34.089357+00:00,2250,0.98,yes,FEDDECISION-24JAN31-C25,dac197fb-64fa-4d1a-9935-a95b36273559,0.02
2024-01-05 13:52:54.326200+00:00,50,0.98,yes,FEDDECISION-24JAN31-C25,5cc87d2d-4cdf-414e-9d21-bfdb81e0233b,0.02
2024-01-05 13:54:32.357036+00:00,300,0.97,yes,FEDDECISION-24JAN31-C25,22a6b540-dfd2-4a7b-b262-e01d8195dbf4,0.03
2024-01-05 14:08:44.176439+00:00,100,0.98,no,FEDDECISION-24JAN31-C25,04f15112-f18d-41c5-98e8-ccf448039d84,0.02
2024-01-05 14:25:02.306473+00:00,62,0.97,yes,FEDDECISION-24JAN31-C25,77807378-9570-430e-b800-d6f6faf8168e,0.03
2024-01-05 15:05:24.983827+00:00,2,0.97,yes,FEDDECISION-24JAN31-C25,1d96d946-4c03-4f52-8ca1-9391340456af,0.03
2024-01-06 01:08:18.510690+00:00,31,0.97,yes,FEDDECISION-24JAN31-C25,e1d89b13-416a-4bfd-87ff-92df4e7758f1,0.03
2024-01-06 16:18:38.033009+00:00,150,0.98,no,FEDDECISION-24JAN31-C25,c2e963f8-f87f-42ff-a025-0ca68b4dac42,0.02
2024-01-06 17:03:25.272979+00:00,101,0.98,no,FEDDECISION-24JAN31-C25,603abb26-147e-4148-8d6e-f1bd4a25b3a8,0.02
2024-01-06 18:18:17.882636+00:00,156,0.97,yes,FEDDECISION-24JAN31-C25,7a4883bf-7b2f-4bd5-9330-b37e69aaa961,0.03
2024-01-07 01:23:52.913099+00:00,1,0.98,no,FEDDECISION-24JAN31-C25,3c8a22b4-c6f1-4c3d-b1e2-8ed4a512e2b5,0.02
2024-01-08 15:17:06.557615+00:00,312,0.98,no,FEDDECISION-24JAN31-C25,0667bc2d-a77a-467b-a4fe-fc98792bd650,0.02
2024-01-08 17:16:25.208939+00:00,156,0.97,yes,FEDDECISION-24JAN31-C25,9caa2004-64c3-4a94-b42f-3fb9d791ac76,0.03
2024-01-09 00:15:50.786593+00:00,31,0.97,yes,FEDDECISION-24JAN31-C25,bf83552a-f21d-4712-a53b-4306032838ad,0.03
2024-01-09 17:53:43.605853+00:00,2000,0.98,yes,FEDDECISION-24JAN31-C25,f3daaf60-9939-4c1f-966b-65ac4c911b46,0.02
2024-01-09 17:53:43.605853+00:00,8,0.98,yes,FEDDECISION-24JAN31-C25,b583cc0a-f129-4d0a-9a20-5d8d5c603099,0.02
2024-01-09 18:08:26.024542+00:00,2000,0.97,yes,FEDDECISION-24JAN31-C25,21475cea-3901-49e2-ae60-b005f959f42a,0.03
2024-01-09 18:08:26.024542+00:00,2000,0.97,yes,FEDDECISION-24JAN31-C25,3cf216db-930a-4b60-926c-7340865a5763,0.03
2024-01-09 18:08:26.024542+00:00,107,0.97,yes,FEDDECISION-24JAN31-C25,4642a098-6b28-4576-8e2d-2e0b2f816cc3,0.03
2024-01-09 18:08:26.024542+00:00,262,0.97,yes,FEDDECISION-24JAN31-C25,7ca5a313-e120-4668-8897-295d88966d0a,0.03
2024-01-09 19:59:27.287867+00:00,2,0.98,no,FEDDECISION-24JAN31-C25,a394e212-cbc4-4c6e-a6e7-f9a7a15d6045,0.02
2024-01-10 04:57:00.617934+00:00,31,0.97,yes,FEDDECISION-24JAN31-C25,00c5daa5-71a0-43d2-9b1b-fcac1a170e85,0.03
2024-01-10 17:58:19.008932+00:00,5248,0.98,no,FEDDECISION-24JAN31-C25,058d1727-d4e6-403a-b052-0c938441569a,0.02
2024-01-10 20:13:57.753662+00:00,31,0.97,yes,FEDDECISION-24JAN31-C25,b0220c27-9049-4450-a6ff-7bf7527d4b1d,0.03
2024-01-11 16:40:08.901897+00:00,25,0.99,no,FEDDECISION-24JAN31-C25,69d84cd6-d9d9-497f-ac68-7ca5b501cfc2,0.01
2024-01-11 18:03:51.577597+00:00,10,0.98,yes,FEDDECISION-24JAN31-C25,e4250d5a-df94-4398-899d-1b552a260398,0.02
2024-01-12 02:22:35.313310+00:00,62,0.99,no,FEDDECISION-24JAN31-C25,ff16d181-6d92-46f1-8cdc-0b39836493f0,0.01
2024-01-12 22:47:56.958714+00:00,100,0.98,yes,FEDDECISION-24JAN31-C25,bd58a94e-ec0d-4996-a51d-e26a1f488872,0.02
2024-01-15 19:24:11.077266+00:00,280,0.98,yes,FEDDECISION-24JAN31-C25,782f13d8-137b-4739-9385-f29b0f18d5ba,0.02
2024-01-16 23:25:24.658454+00:00,100,0.99,no,FEDDECISION-24JAN31-C25,d00da401-a669-4191-a20b-48814fad5b28,0.01
2024-01-17 14:15:14.698120+00:00,666,0.99,no,FEDDECISION-24JAN31-C25,0a8c26bb-0e2c-4ad5-8b8f-4bcd9d65d00a,0.01
2024-01-17 15:10:01.625390+00:00,2727,0.99,no,FEDDECISION-24JAN31-C25,49c4313b-3186-4f82-ab5b-3cb29fa6b52c,0.01
2024-01-17 15:10:01.625390+00:00,1103,0.99,no,FEDDECISION-24JAN31-C25,8131c0c5-6085-4b1d-940e-2e73ea137e6f,0.01
2024-01-17 15:10:01.625390+00:00,1170,0.99,no,FEDDECISION-24JAN31-C25,f489fe3c-7b35-4004-9329-22054e3fe26b,0.01
2024-01-17 16:35:25.644259+00:00,93,0.99,yes,FEDDECISION-24JAN31-C25,c81760e2-afc6-4d83-802a-96b72514d913,0.01
2024-01-18 02:54:32.491961+00:00,467,0.99,yes,FEDDECISION-24JAN31-C25,cbac88e1-cc7f-43f1-a17d-a9911ca9315a,0.01
2024-01-18 14:43:18.857704+00:00,935,0.99,yes,FEDDECISION-24JAN31-C25,d761ac14-5778-49b8-b472-572a0d9d4d81,0.01
2024-01-18 18:36:15.143117+00:00,3505,0.99,yes,FEDDECISION-24JAN31-C25,13395340-ab11-4f0a-9ef3-2948e4ea0837,0.01
2024-01-18 18:36:15.143117+00:00,200,0.99,yes,FEDDECISION-24JAN31-C25,7955c731-b494-4c4a-910d-876a796b6ca3,0.01
2024-01-18 18:36:15.143117+00:00,35,0.99,yes,FEDDECISION-24JAN31-C25,bb23f32d-1fec-4efa-95bb-91f7e27f5d95,0.01
2024-01-20 02:24:51.576226+00:00,60,0.99,yes,FEDDECISION-24JAN31-C25,9b8c5ef7-0c14-4b21-a05d-73248517b2e1,0.01
2024-01-20 02:24:51.576226+00:00,496,0.98,yes,FEDDECISION-24JAN31-C25,b01adbbb-361d-4052-a30a-d92dc9b1da60,0.02
2024-01-20 02:24:51.576226+00:00,500,0.99,yes,FEDDECISION-24JAN31-C25,1e0b8725-d76c-46c5-a803-53a4043be67e,0.01
2024-01-20 02:24:51.576226+00:00,165,0.99,yes,FEDDECISION-24JAN31-C25,5a97ba79-7fa7-4906-954c-37647a4f5158,0.01
2024-01-22 21:50:24.648293+00:00,100,0.99,yes,FEDDECISION-24JAN31-C25,889c294a-72a4-4399-97d9-c17d14cf2613,0.01
2024-01-22 21:51:29.429072+00:00,200,0.99,yes,FEDDECISION-24JAN31-C25,91730145-554f-4fd8-9f91-64bf7606b332,0.01
2024-01-23 02:15:40.633473+00:00,86,0.99,yes,FEDDECISION-24JAN31-C25,3b6ebb2b-c9fb-40ca-a730-b67386e004d0,0.01
2024-01-23 02:15:40.633473+00:00,100,0.99,yes,FEDDECISION-24JAN31-C25,73589b92-7b64-4fe8-a327-4610086ef967,0.01
2024-01-23 03:04:07.426076+00:00,93,0.99,yes,FEDDECISION-24JAN31-C25,f47c4f00-d16a-4724-b6f7-bf46961eb343,0.01
2024-01-23 13:17:27.396889+00:00,935,0.99,yes,FEDDECISION-24JAN31-C25,e8d64a6e-f843-4665-9529-17aad313e097,0.01
2024-01-23 17:25:14.421346+00:00,999,0.99,yes,FEDDECISION-24JAN31-C25,0c4f2268-612f-48fb-bbed-9c8ded35d522,0.01
2024-01-23 17:25:35.340298+00:00,66,0.99,yes,FEDDECISION-24JAN31-C25,970f8f81-5c33-4457-8c96-b18f2f550314,0.01
2024-01-23 18:01:52.612241+00:00,93,0.99,yes,FEDDECISION-24JAN31-C25,ffc7570a-1a50-4dea-87cc-cfaeb528d7d1,0.01
