id,transactionHash,timestamp,maker,taker,makerAssetId,takerAssetId,makerAmountFilled,takerAmountFilled,fee,outcome,datetime,side,usdc_amount,token_amount,price,yes_price,no_price
0xf1ae9828c5deb7f53803e97fc6fd54e901628383620fbb5da3c31498525bc21f_0xf909b16816461fec4b1f200ddbeab49abf71787f6024ee05c5a42b5bb9019694,0xf1ae9828c5deb7f53803e97fc6fd54e901628383620fbb5da3c31498525bc21f,1718653276,0x8debd189ffd74160f25e367bafaed61a9fea7062,0xc5d563a36ae78145c45a50134d48a1215220f80a,0,14987046218227329027080984029949561275408794766325730526435811581087168625932,92.4,100.0,0.0,YES,2024-06-17 19:41:16+00:00,BUY,92.4,100.0,0.924,0.924,0.076
0x502d3402c7c70f0c9b2daa8377dc2d9b6e8b9b4254dc86a976e43693dcbd9771_0x0eef00338df74e48afca7b7e453257f8bf298d81bce56e35556e9c621bfb4c1e,0x502d3402c7c70f0c9b2daa8377dc2d9b6e8b9b4254dc86a976e43693dcbd9771,1718661032,0x71e11e0fc20a2adf27026fbf8674b38f8ff945f0,0x1e3838c3e5a04fcb5b7506ec748010e8d20d5d7f,0,14987046218227329027080984029949561275408794766325730526435811581087168625932,276.0,300.0,0.0,YES,2024-06-17 21:50:32+00:00,BUY,276.0,300.0,0.92,0.92,0.08
0x32bfc4e9e2d56a9dcb19841a0ad546e738ea11d29ee6eea0609cd23cd55737d1_0x39794b812246876a8bed10d27271bd68e214e29eafe7e8dc022f9cda34f7ec09,0x32bfc4e9e2d56a9dcb19841a0ad546e738ea11d29ee6eea0609cd23cd55737d1,1718685216,0xdcc9d68a4bad9fc8becd27a03ee5b2b4feda4534,0xc5d563a36ae78145c45a50134d48a1215220f80a,14987046218227329027080984029949561275408794766325730526435811581087168625932,0,900.0,828.0,0.0,YES,2024-06-18 04:33:36+00:00,SELL,828.0,900.0,0.92,0.92,0.08
0x8d26c80b906f55ea95989b4900daa051d50d91738e699cd3db8ff4cf79e603a7_0x17add342a72dcd679a221fe716ce194d6565fbc0308b4f4674f016597e8a6c7a,0x8d26c80b906f55ea95989b4900daa051d50d91738e699cd3db8ff4cf79e603a7,1718778777,0xdcc9d68a4bad9fc8becd27a03ee5b2b4feda4534,0x1e3838c3e5a04fcb5b7506ec748010e8d20d5d7f,0,14987046218227329027080984029949561275408794766325730526435811581087168625932,114.5,125.0,0.0,YES,2024-06-19 06:32:57+00:00,BUY,114.5,125.0,0.916,0.916,0.084
0x0dc1c471ddbbad3b55db34a651c3b601e67e9b1aba3274310c407afcee52065e_0xf56aab4bf5db2b310bf3fdf49892ae850a56c858f96ff271413d809025f613b1,0x0dc1c471ddbbad3b55db34a651c3b601e67e9b1aba3274310c407afcee52065e,1718924309,0xdcc9d68a4bad9fc8becd27a03ee5b2b4feda4534,0x8debd189ffd74160f25e367bafaed61a9fea7062,14987046218227329027080984029949561275408794766325730526435811581087168625932,0,55.0,50.655,0.0,YES,2024-06-20 22:58:29+00:00,SELL,50.655,55.0,0.921,0.921,0.079
0x9052316393671e9672003274ff0f2134ae67007cb4ddfafb03178af84d21b06f_0xf56aab4bf5db2b310bf3fdf49892ae850a56c858f96ff271413d809025f613b1,0x9052316393671e9672003274ff0f2134ae67007cb4ddfafb03178af84d21b06f,1718931599,0xdcc9d68a4bad9fc8becd27a03ee5b2b4feda4534,0x8debd189ffd74160f25e367bafaed61a9fea7062,14987046218227329027080984029949561275408794766325730526435811581087168625932,0,150.0,138.15,0.0,YES,2024-06-21 00:59:59+00:00,SELL,138.15,150.0,0.921,0.921,0.079
0x3800d14b1285e32b2fed059e3ec8da432191c115312737a1516d2183b0d4cb04_0x421de3abce05a93c46d6cc6f2915b8d256f3faaa1b73482c8e63163d779d6fd9,0x3800d14b1285e32b2fed059e3ec8da432191c115312737a1516d2183b0d4cb04,1719016477,0x3bd0f39c7eca69d2575c861642a4d2e083394c12,0xc5d563a36ae78145c45a50134d48a1215220f80a,71914038773350234130553415116948415426792971631252265695143324140554345804068,0,140.0,10.92,0.0,NO,2024-06-22 00:34:37+00:00,SELL,10.92,140.0,0.078,0.922,0.078
0xb2f1526294e06c92cdb9f6e7d6604a6ed97eaaf7050942c6109a071d4fdea8f9_0x635d3686cc1a5f076dafa7061662e7a25e31d9a31347973cc44cb36d77fbce7e,0xb2f1526294e06c92cdb9f6e7d6604a6ed97eaaf7050942c6109a071d4fdea8f9,1719031344,0xdcc9d68a4bad9fc8becd27a03ee5b2b4feda4534,0xc5d563a36ae78145c45a50134d48a1215220f80a,14987046218227329027080984029949561275408794766325730526435811581087168625932,0,350.0,322.0,0.0,YES,2024-06-22 04:42:24+00:00,SELL,322.0,350.0,0.92,0.92,0.08
0xa2a2751f7bad43262eb447f88afc40e0ad5c1435df68756389c0502b40f4703c_0x805f8e3c3e3cd383079bfddd28345c736d731057ed57b1e0235e4457ccfcb11d,0xa2a2751f7bad43262eb447f88afc40e0ad5c1435df68756389c0502b40f4703c,1719046028,0xdcc9d68a4bad9fc8becd27a03ee5b2b4feda4534,0x762b54f45560a733cbbbb63849a42ddce5db910f,0,14987046218227329027080984029949561275408794766325730526435811581087168625932,10.235955,11.235954,0.0,YES,2024-06-22 08:47:08+00:00,BUY,10.235955,11.235954,0.9110000806340076,0.9110000806340076,0.089
0x1d3898a3c389da57ff1039add3a0284a9fca22f148857ff4214e48be4034c01a_0x2aa2798dacc47e53cf6252e59dbbc3c4c84000029c7ce7f06227eaee7efd3c55,0x1d3898a3c389da57ff1039add3a0284a9fca22f148857ff4214e48be4034c01a,1719255854,0xeb26cd38d12ada5304f56e9be5b3908df8bf4030,0xc5d563a36ae78145c45a50134d48a1215220f80a,0,14987046218227329027080984029949561275408794766325730526435811581087168625932,0.999991,1.084589,0.0,YES,2024-06-24 19:04:14+00:00,BUY,0.999991,1.084589,0.9219999465235218,0.9219999465235218,0.078
