id,transactionHash,timestamp,makerAssetId,takerAssetId,makerAmountFilled,takerAmountFilled,fee,outcome,datetime,side,usdc_amount,token_amount,price,yes_price,no_price
0x7bef532799751307e66cbd71dbd0e0aecfeb07e8465311a90ca0409f9ecd95d5_0xefa2da148e8d8e2af2c9b1031e868a63db3e0854a88b9d3df3b5c4a569ccb0ae,0x7bef532799751307e66cbd71dbd0e0aecfeb07e8465311a90ca0409f9ecd95d5,1717180776,0,88465704193015812461296177724920569739949794882741848131901008619945303668495,125.07915,128.55,0.0,YES,2024-05-31 18:39:36+00:00,BUY,125.07915,128.55,0.9729999999999999,0.9729999999999999,0.027
0x599c9884db69efdc027f3d422a45930a144b884892de68d58a2caaf3a01e2d31_0xea3a348957124c5cfe74412c38b9e6878ad67451924ef7aed27bf56ce3536d2f,0x599c9884db69efdc027f3d422a45930a144b884892de68d58a2caaf3a01e2d31,1717180782,0,88465704193015812461296177724920569739949794882741848131901008619945303668495,438.3,450.0,0.0,YES,2024-05-31 18:39:42+00:00,BUY,438.3,450.0,0.974,0.974,0.026
0xfa04a558e9626b48d74ed370af9b5dc01de12a7f362615898de251b2013e23f7_0xe5b7d1cffccb1ac8cdd0d7422644bc2b9c1b1559072d93cd89539acaa873f413,0xfa04a558e9626b48d74ed370af9b5dc01de12a7f362615898de251b2013e23f7,1717180796,88465704193015812461296177724920569739949794882741848131901008619945303668495,0,6872.26,6714.19802,0.0,YES,2024-05-31 18:39:56+00:00,SELL,6714.19802,6872.26,0.977,0.977,0.023
0x721ef55ee2bcdbbc3462f570158de9e687c5fedc73766234f368f6001e7680d8_0x5e58efb3f7e421b067008cb75a03d5871c1f935b959332df16a3f21e1adcc9f6,0x721ef55ee2bcdbbc3462f570158de9e687c5fedc73766234f368f6001e7680d8,1717181318,0,88465704193015812461296177724920569739949794882741848131901008619945303668495,6776.0,7000.0,0.0,YES,2024-05-31 18:48:38+00:00,BUY,6776.0,7000.0,0.968,0.968,0.032
0x30d05811ec0cede9e77e5796de77147ba88fcd60b028e5999866bb272aeaa0c3_0x1ee29a4341ddc80575194967a9c86c8218fc570bb051e8688ed478dba763bf10,0x30d05811ec0cede9e77e5796de77147ba88fcd60b028e5999866bb272aeaa0c3,1717181556,88465704193015812461296177724920569739949794882741848131901008619945303668495,0,450.0,435.6,0.0,YES,2024-05-31 18:52:36+00:00,SELL,435.6,450.0,0.9680000000000001,0.9680000000000001,0.032
0x21d502cabaa2aab01f123b1a7e5daef2a63c94bb5f30b39a45d1b617d1775d8e_0x14ec8ede4a3b4ccb6eb3bc8d06ce80211e2d7febf0f61021b3131e4260894099,0x21d502cabaa2aab01f123b1a7e5daef2a63c94bb5f30b39a45d1b617d1775d8e,1717199844,0,88465704193015812461296177724920569739949794882741848131901008619945303668495,193.0,200.0,0.0,YES,2024-05-31 23:57:24+00:00,BUY,193.0,200.0,0.965,0.965,0.035
0xe0ac83d3202d294b6ee773af40f4487004a142ecb42d7d278e4abc6c0e60efe0_0xc666770676ce6c5dd28fac754f18f74322677641016bc73a6cf344edbebf0a69,0xe0ac83d3202d294b6ee773af40f4487004a142ecb42d7d278e4abc6c0e60efe0,1717205859,0,88465704193015812461296177724920569739949794882741848131901008619945303668495,2.999998,3.105588,0.0,YES,2024-06-01 01:37:39+00:00,BUY,2.999998,3.105588,0.9659999974239983,0.9659999974239983,0.034
0xf521f67008ea8660ae60f3fa6575c5e6f64b193de97b41ff75829049011d99f1_0xad3177e23c5851f4b336c63885b077ec259bb0ed961ec084757bf29a1fb6edb6,0xf521f67008ea8660ae60f3fa6575c5e6f64b193de97b41ff75829049011d99f1,1717210985,0,88465704193015812461296177724920569739949794882741848131901008619945303668495,0.009972,0.010323,0.0,YES,2024-06-01 03:03:05+00:00,BUY,0.009972,0.010323,0.9659982563208369,0.9659982563208369,0.034002
0x4c65221f8e1c7b74822d8986f8e4ce969a0b34667796f7e7b4e68da7a8fa9efd_0x7300c1f34e4d5650e7ace1be2b60b5f631a69e80a82a5b74bc6cee4d7e560b42,0x4c65221f8e1c7b74822d8986f8e4ce969a0b34667796f7e7b4e68da7a8fa9efd,1717215871,88465704193015812461296177724920569739949794882741848131901008619945303668495,0,0.01034,0.009998,0.0,YES,2024-06-01 04:24:31+00:00,SELL,0.009998,0.01034,0.9669245647969053,0.9669245647969053,0.033075
0x6e37c1f15eb2c22bd13aada0dc11609155daf24c1ba52a5506be05132cf450e6_0x68d2b7a9476c5b842b1727c91fdf12cca741e3cd92f213fc30162e1bfad57df6,0x6e37c1f15eb2c22bd13aada0dc11609155daf24c1ba52a5506be05132cf450e6,1717220289,88465704193015812461296177724920569739949794882741848131901008619945303668495,0,1.034125,0.999998,0.0,YES,2024-06-01 05:38:09+00:00,SELL,0.999998,1.034125,0.9669991538740482,0.9669991538740482,0.033001
