time,open,high,low,close,Volume
1682288220,94.965,94.965,94.965,94.965,3
1682288760,94.965,94.965,94.965,94.965,1
1682289300,94.965,94.965,94.965,94.965,35
1682289360,94.965,94.965,94.965,94.965,1
1682289480,94.965,94.965,94.965,94.965,14
1682291340,94.965,94.965,94.965,94.965,1
1682296680,94.965,94.965,94.965,94.965,3
1682298840,94.97,94.97,94.97,94.97,2
1682299920,94.97,94.97,94.97,94.97,2
1682300640,94.97,94.97,94.97,94.97,2
1682301540,94.97,94.97,94.97,94.97,3
1682303160,94.97,94.97,94.97,94.97,1
1682308860,94.97,94.97,94.97,94.97,1
1682316060,94.975,94.975,94.975,94.975,1
1682317260,94.98,94.98,94.98,94.98,1
1682318040,94.975,94.975,94.975,94.975,8
1682318340,94.975,94.975,94.975,94.975,2
1682319840,94.975,94.975,94.975,94.975,1
1682320020,94.975,94.975,94.975,94.975,4
1682320440,94.975,94.975,94.975,94.975,4
1682320740,94.975,94.975,94.975,94.975,29
1682321340,94.98,94.98,94.98,94.98,1
1682322420,94.975,94.975,94.975,94.975,4
1682322840,94.975,94.975,94.975,94.975,1
1682322900,94.975,94.975,94.975,94.975,2
1682323200,94.975,94.975,94.975,94.975,2
1682323500,94.97,94.97,94.97,94.97,110
1682323560,94.97,94.97,94.97,94.97,95
1682323680,94.97,94.97,94.97,94.97,18
1682324340,94.97,94.97,94.97,94.97,1
1682324520,94.97,94.97,94.97,94.97,3
1682326440,94.97,94.97,94.97,94.97,1
1682330100,94.97,94.97,94.97,94.97,16
1682330340,94.97,94.97,94.97,94.97,6
1682330700,94.97,94.97,94.97,94.97,13
1682331600,94.97,94.97,94.97,94.97,4
1682331960,94.97,94.97,94.97,94.97,1
1682334120,94.97,94.97,94.97,94.97,3
1682334900,94.965,94.965,94.96,94.96,143
1682335140,94.96,94.96,94.96,94.96,50
1682335440,94.965,94.965,94.965,94.965,4
1682335500,94.965,94.965,94.965,94.965,5
1682336160,94.97,94.97,94.97,94.97,4
1682337480,94.965,94.965,94.965,94.965,21
1682337600,94.965,94.965,94.965,94.965,4
1682337660,94.965,94.965,94.965,94.965,1
1682338200,94.97,94.97,94.97,94.97,17
1682338620,94.97,94.97,94.97,94.97,4
1682338800,94.97,94.97,94.97,94.97,10
1682338860,94.975,94.975,94.975,94.975,23
1682338920,94.975,94.975,94.975,94.975,7
1682339040,94.975,94.975,94.975,94.975,4
1682339340,94.975,94.975,94.975,94.975,10
1682339760,94.975,94.975,94.975,94.975,9
1682339820,94.975,94.975,94.975,94.975,87
1682339880,94.975,94.975,94.975,94.975,1
1682341020,94.97,94.97,94.965,94.965,101
1682341080,94.97,94.97,94.97,94.97,6
1682341560,94.965,94.965,94.965,94.965,5
1682341800,94.965,94.965,94.965,94.965,1
1682341860,94.965,94.965,94.965,94.965,1
1682342280,94.965,94.965,94.965,94.965,4
1682342640,94.97,94.97,94.97,94.97,21
1682342760,94.97,94.97,94.97,94.97,10
1682342820,94.97,94.97,94.97,94.97,1
1682343360,94.97,94.97,94.97,94.97,1
1682343840,94.97,94.97,94.97,94.97,25
1682343900,94.97,94.97,94.97,94.97,20
1682343960,94.97,94.97,94.97,94.97,17
1682344620,94.975,94.975,94.975,94.975,557
1682344860,94.975,94.975,94.975,94.975,5
1682345040,94.975,94.975,94.975,94.975,187
1682345100,94.975,94.975,94.975,94.975,40
1682345280,94.975,94.975,94.975,94.975,5
1682346240,94.975,94.975,94.975,94.975,3
1682346600,94.975,94.975,94.975,94.975,3
1682347200,94.975,94.975,94.975,94.975,6
