time,open,high,low,close,Volume
1686520800,94.72,94.72,94.72,94.72,2
1686520860,94.715,94.715,94.715,94.715,1
1686520980,94.715,94.715,94.715,94.715,2
1686521580,94.72,94.72,94.72,94.72,2
1686521640,94.72,94.72,94.72,94.72,4
1686521700,94.72,94.72,94.72,94.72,1
1686523140,94.72,94.72,94.72,94.72,1
1686524820,94.72,94.72,94.72,94.72,1
1686525000,94.72,94.72,94.72,94.72,2
1686525780,94.725,94.725,94.725,94.725,4
1686528060,94.725,94.725,94.725,94.725,2
1686529320,94.725,94.725,94.725,94.725,6
1686529380,94.725,94.725,94.725,94.725,4
1686529620,94.725,94.725,94.725,94.725,1
1686530100,94.725,94.725,94.725,94.725,1
1686530940,94.73,94.73,94.73,94.73,22
1686536700,94.725,94.725,94.725,94.725,25
1686536760,94.725,94.725,94.725,94.725,25
1686537660,94.725,94.725,94.725,94.725,30
1686537780,94.725,94.725,94.725,94.725,1
1686545520,94.73,94.73,94.73,94.73,3
1686548040,94.73,94.73,94.73,94.73,2
1686552060,94.725,94.725,94.725,94.725,59
1686553080,94.725,94.725,94.725,94.725,13
1686553140,94.725,94.725,94.725,94.725,5
1686553200,94.725,94.725,94.725,94.725,1
1686553980,94.725,94.725,94.725,94.725,3
1686554160,94.725,94.725,94.725,94.725,2
1686554520,94.725,94.725,94.725,94.725,1
1686555480,94.725,94.725,94.725,94.725,50
1686555900,94.725,94.725,94.725,94.725,81
1686556440,94.72,94.72,94.72,94.72,15
1686556860,94.725,94.725,94.725,94.725,64
1686556920,94.725,94.725,94.725,94.725,51
1686557400,94.725,94.725,94.725,94.725,5
1686557760,94.725,94.725,94.725,94.725,10
1686557820,94.725,94.725,94.725,94.725,5
1686558060,94.73,94.73,94.73,94.73,141
1686558120,94.73,94.73,94.73,94.73,146
1686558180,94.73,94.73,94.73,94.73,25
1686558240,94.73,94.73,94.73,94.73,1
1686558360,94.73,94.73,94.73,94.73,146
1686558600,94.73,94.73,94.73,94.73,178
1686558660,94.73,94.73,94.73,94.73,125
1686559920,94.735,94.735,94.735,94.735,477
1686560520,94.735,94.735,94.735,94.735,211
1686560640,94.735,94.735,94.735,94.735,25
1686560760,94.735,94.735,94.735,94.735,14
1686561000,94.735,94.735,94.735,94.735,7
1686561240,94.735,94.735,94.735,94.735,2
1686562200,94.73,94.73,94.73,94.73,4
1686563160,94.73,94.73,94.73,94.73,9
1686563220,94.73,94.73,94.73,94.73,4
1686563400,94.73,94.73,94.73,94.73,4
1686564780,94.735,94.735,94.735,94.735,495
1686564840,94.735,94.735,94.735,94.735,96
1686564900,94.735,94.735,94.735,94.735,132
1686564960,94.735,94.735,94.735,94.735,117
1686565560,94.735,94.735,94.735,94.735,4
1686565920,94.74,94.74,94.74,94.74,4
1686565980,94.74,94.74,94.74,94.74,5
1686566040,94.74,94.74,94.74,94.74,3
1686566100,94.74,94.74,94.74,94.74,1
1686566220,94.74,94.74,94.74,94.74,7
1686566580,94.735,94.735,94.735,94.735,44
1686566640,94.735,94.735,94.735,94.735,15
1686566820,94.74,94.74,94.74,94.74,30
1686566880,94.74,94.74,94.74,94.74,53
1686567180,94.735,94.735,94.735,94.735,559
1686567240,94.735,94.735,94.735,94.735,40
1686567360,94.735,94.735,94.735,94.735,176
1686567420,94.735,94.735,94.735,94.735,10
1686567480,94.735,94.735,94.735,94.735,164
1686567540,94.735,94.735,94.735,94.735,284
1686567600,94.735,94.735,94.735,94.735,40
1686567660,94.735,94.735,94.735,94.735,2
1686567780,94.735,94.735,94.735,94.735,3
1686568020,94.735,94.735,94.735,94.735,3
1686568080,94.735,94.735,94.735,94.735,9
1686568140,94.735,94.735,94.735,94.735,30
1686568260,94.735,94.735,94.735,94.735,24
1686568500,94.73,94.73,94.73,94.73,256
1686568560,94.73,94.73,94.73,94.73,583
1686568680,94.73,94.73,94.73,94.73,7
1686568740,94.73,94.73,94.73,94.73,15
1686568800,94.73,94.73,94.73,94.73,205
1686568860,94.73,94.73,94.73,94.73,318
1686569100,94.73,94.73,94.73,94.73,424
1686569160,94.73,94.73,94.73,94.73,58
1686569340,94.73,94.73,94.73,94.73,4
1686570420,94.735,94.735,94.735,94.735,593
1686570540,94.74,94.74,94.74,94.74,3
1686570600,94.74,94.74,94.74,94.74,13
1686570660,94.735,94.735,94.735,94.735,61
1686570840,94.74,94.74,94.74,94.74,191
1686570960,94.74,94.74,94.74,94.74,243
1686571020,94.74,94.74,94.74,94.74,7
1686571140,94.74,94.74,94.74,94.74,71
1686571200,94.74,94.74,94.74,94.74,14
1686571260,94.74,94.74,94.74,94.74,122
1686571320,94.74,94.74,94.74,94.74,20
1686571380,94.74,94.745,94.74,94.745,32
1686571440,94.74,94.745,94.74,94.745,16
1686571500,94.745,94.745,94.745,94.745,4
1686571560,94.745,94.745,94.74,94.74,69
1686571620,94.74,94.74,94.74,94.74,53
1686571860,94.74,94.74,94.74,94.74,28
1686571920,94.74,94.74,94.74,94.74,1
1686571980,94.74,94.74,94.74,94.74,256
1686572040,94.74,94.74,94.74,94.74,41
1686572100,94.74,94.74,94.74,94.74,9
1686572160,94.74,94.74,94.74,94.74,24
1686572220,94.74,94.74,94.74,94.74,8
1686572340,94.745,94.745,94.745,94.745,83
1686572400,94.745,94.745,94.745,94.745,687
1686572460,94.745,94.745,94.745,94.745,141
1686572520,94.745,94.745,94.745,94.745,81
1686572580,94.75,94.75,94.75,94.75,85
1686572640,94.75,94.75,94.75,94.75,31
1686572700,94.75,94.75,94.75,94.75,40
1686572760,94.75,94.75,94.75,94.75,83
1686572820,94.75,94.75,94.75,94.75,57
1686572880,94.75,94.75,94.75,94.75,13
1686573000,94.745,94.745,94.745,94.745,122
1686573060,94.74,94.74,94.74,94.74,2
1686573300,94.74,94.74,94.74,94.74,15
1686573360,94.74,94.74,94.74,94.74,24
1686573420,94.745,94.745,94.745,94.745,224
1686573480,94.745,94.745,94.745,94.745,20
