time,open,high,low,close,Volume
1675404480,95.22,95.22,95.22,95.22,60
1675404540,95.22,95.22,95.22,95.22,44
1675404600,95.22,95.22,95.22,95.22,10
1675405860,95.22,95.22,95.22,95.22,1
1675406340,95.22,95.22,95.22,95.22,3
1675407360,95.22,95.22,95.22,95.22,10
1675407600,95.22,95.22,95.22,95.22,3
1675408260,95.22,95.22,95.22,95.22,408
1675408620,95.22,95.22,95.22,95.22,310
1675409520,95.22,95.22,95.22,95.22,15
1675409640,95.22,95.22,95.22,95.22,250
1675410180,95.22,95.22,95.22,95.22,338
1675410240,95.22,95.22,95.22,95.22,25
1675410600,95.22,95.22,95.22,95.22,100
1675410780,95.22,95.22,95.22,95.22,7
1675411140,95.22,95.22,95.22,95.22,13
1675411320,95.22,95.22,95.22,95.22,120
1675412460,95.22,95.22,95.22,95.22,300
1675416000,95.22,95.22,95.22,95.22,7
1675416120,95.22,95.22,95.22,95.22,4
1675416180,95.22,95.22,95.22,95.22,1
1675417740,95.22,95.22,95.22,95.22,300
1675422120,95.22,95.22,95.22,95.22,15
1675422960,95.215,95.215,95.215,95.215,29
1675423980,95.22,95.22,95.22,95.22,1000
1675425480,95.22,95.22,95.22,95.22,500
1675426140,95.22,95.22,95.22,95.22,1414
1675426320,95.22,95.22,95.22,95.22,1
1675427580,95.215,95.215,95.215,95.215,39
1675427640,95.215,95.215,95.215,95.215,1
1675427760,95.215,95.215,95.215,95.215,230
1675427820,95.215,95.215,95.215,95.215,20
1675427880,95.215,95.215,95.215,95.215,3
1675428000,95.215,95.215,95.215,95.215,3
1675428060,95.215,95.215,95.215,95.215,2
1675428120,95.215,95.215,95.215,95.215,65
1675429080,95.215,95.215,95.215,95.215,1100
1675429140,95.215,95.215,95.215,95.215,50
1675429320,95.215,95.215,95.215,95.215,253
1675429440,95.215,95.215,95.215,95.215,510
1675429500,95.215,95.215,95.215,95.215,110
1675429560,95.215,95.215,95.215,95.215,80
1675429740,95.215,95.215,95.215,95.215,224
1675429860,95.215,95.215,95.215,95.215,1
1675429920,95.215,95.215,95.215,95.215,7
1675430040,95.215,95.215,95.215,95.215,1
1675430160,95.22,95.22,95.22,95.22,105
1675430280,95.215,95.215,95.215,95.215,10
1675430340,95.215,95.215,95.215,95.215,125
1675430400,95.215,95.215,95.215,95.215,721
1675430460,95.215,95.215,95.215,95.215,830
1675430520,95.215,95.215,95.215,95.215,1223
1675430580,95.21,95.21,95.21,95.21,600
1675430640,95.21,95.21,95.21,95.21,868
1675430700,95.215,95.215,95.21,95.21,608
1675430760,95.21,95.21,95.21,95.21,250
1675430820,95.215,95.215,95.21,95.21,32
1675430880,95.215,95.215,95.21,95.21,422
1675430940,95.21,95.21,95.21,95.21,350
1675431000,95.21,95.21,95.185,95.195,7782
1675431060,95.195,95.205,95.195,95.195,3898
1675431120,95.195,95.195,95.19,95.19,1909
1675431180,95.19,95.2,95.19,95.195,2471
1675431240,95.195,95.195,95.19,95.19,1051
1675431300,95.19,95.195,95.19,95.195,1291
1675431360,95.195,95.195,95.195,95.195,105
1675431420,95.195,95.195,95.195,95.195,1441
1675431480,95.195,95.195,95.195,95.195,2909
1675431540,95.195,95.195,95.195,95.195,732
1675431600,95.195,95.195,95.195,95.195,2238
1675431660,95.195,95.195,95.19,95.19,685
1675431720,95.19,95.19,95.19,95.19,568
1675431780,95.19,95.19,95.19,95.19,21
1675431840,95.19,95.19,95.19,95.19,33
1675431900,95.19,95.19,95.19,95.19,146
1675431960,95.19,95.19,95.19,95.19,3530
1675432020,95.19,95.19,95.19,95.19,2739
1675432080,95.19,95.195,95.19,95.19,2161
1675432140,95.185,95.19,95.185,95.185,1821
