time,open,high,low,close,Volume
1713736800,94.83,94.83,94.82,94.825,60
1713736920,94.825,94.825,94.825,94.825,15
1713736980,94.825,94.825,94.825,94.825,1
1713737040,94.825,94.825,94.825,94.825,13
1713737100,94.825,94.825,94.825,94.825,1
1713737400,94.825,94.825,94.825,94.825,1
1713742980,94.83,94.835,94.83,94.835,13
1713743640,94.83,94.83,94.83,94.83,6
1713746760,94.825,94.825,94.825,94.825,3
1713746940,94.825,94.825,94.825,94.825,1
1713749760,94.825,94.825,94.825,94.825,1
1713751500,94.83,94.83,94.83,94.83,101
1713756420,94.825,94.825,94.825,94.825,22
1713756720,94.825,94.825,94.825,94.825,11
1713758580,94.825,94.825,94.825,94.825,1
1713759300,94.825,94.825,94.825,94.825,12
1713759660,94.825,94.825,94.825,94.825,1
1713760260,94.825,94.825,94.825,94.825,4
1713762180,94.825,94.825,94.825,94.825,2
1713770400,94.83,94.83,94.83,94.83,10
1713771360,94.83,94.83,94.83,94.83,3
1713771420,94.83,94.83,94.83,94.83,4
1713771480,94.83,94.83,94.83,94.83,4
1713772140,94.83,94.83,94.83,94.83,3
1713777120,94.825,94.825,94.825,94.825,10
1713786480,94.825,94.825,94.825,94.825,3
1713787380,94.83,94.83,94.83,94.83,30
1713788040,94.83,94.83,94.83,94.83,1
1713788280,94.83,94.83,94.83,94.83,1
1713788460,94.835,94.835,94.835,94.835,4
1713788640,94.83,94.83,94.83,94.83,1
1713788700,94.835,94.835,94.835,94.835,1
1713788880,94.83,94.83,94.83,94.83,1
1713788940,94.83,94.83,94.83,94.83,30
1713789000,94.835,94.835,94.835,94.835,2
1713789300,94.83,94.83,94.83,94.83,1
1713789600,94.835,94.835,94.835,94.835,4
1713789780,94.84,94.84,94.84,94.84,1
1713789900,94.835,94.835,94.835,94.835,10
1713790020,94.835,94.835,94.835,94.835,1
1713790080,94.835,94.835,94.835,94.835,2
1713790200,94.835,94.835,94.835,94.835,1
1713790320,94.835,94.835,94.83,94.83,6
1713790440,94.835,94.835,94.835,94.835,10
1713790860,94.835,94.835,94.835,94.835,9
1713790980,94.835,94.835,94.835,94.835,1
1713791340,94.835,94.835,94.835,94.835,1
1713791640,94.835,94.835,94.835,94.835,1
1713792120,94.835,94.835,94.835,94.835,2
1713792240,94.835,94.835,94.835,94.835,20
1713792780,94.835,94.835,94.835,94.835,93
1713792960,94.835,94.835,94.835,94.835,11
