time,open,high,low,close,Volume
1703545200,95.37,95.37,95.37,95.37,1
1703550540,95.365,95.365,95.365,95.365,2
1703561640,95.365,95.365,95.365,95.365,1
1703576820,95.36,95.36,95.36,95.36,5
1703576880,95.36,95.36,95.36,95.36,2
1703578080,95.36,95.36,95.36,95.36,3
1703588340,95.36,95.36,95.36,95.36,1
1703588400,95.36,95.36,95.36,95.36,2
1703589600,95.36,95.36,95.36,95.36,1
1703589720,95.36,95.36,95.36,95.36,1
1703593320,95.355,95.355,95.355,95.355,2
1703594280,95.35,95.35,95.35,95.35,10
1703594460,95.355,95.355,95.355,95.355,12
1703594580,95.35,95.35,95.35,95.35,7
1703594700,95.355,95.355,95.355,95.355,9
1703596020,95.345,95.345,95.345,95.345,1
1703596320,95.345,95.345,95.345,95.345,3
1703596380,95.345,95.345,95.345,95.345,10
1703596500,95.34,95.34,95.34,95.34,21
1703596620,95.34,95.34,95.34,95.34,2
1703596800,95.34,95.34,95.34,95.34,20
1703597040,95.345,95.345,95.345,95.345,8
1703598120,95.345,95.345,95.345,95.345,8
1703598240,95.345,95.345,95.345,95.345,6
1703599140,95.34,95.34,95.34,95.34,7
1703599560,95.335,95.335,95.335,95.335,29
1703599800,95.325,95.325,95.325,95.325,12
1703600040,95.33,95.33,95.33,95.33,6
1703600100,95.33,95.33,95.33,95.33,6
1703600700,95.335,95.34,95.335,95.34,18
1703600760,95.34,95.34,95.335,95.335,7
1703600820,95.335,95.335,95.335,95.335,8
1703600880,95.335,95.335,95.335,95.335,2
1703601000,95.335,95.335,95.335,95.335,15
1703601300,95.33,95.33,95.33,95.33,1
1703601360,95.33,95.33,95.33,95.33,7
1703601660,95.33,95.33,95.33,95.33,1
1703601960,95.33,95.33,95.33,95.33,8
1703602560,95.33,95.33,95.33,95.33,2
1703602740,95.325,95.325,95.325,95.325,26
1703602980,95.33,95.33,95.33,95.33,18
1703603340,95.335,95.335,95.335,95.335,1
1703603520,95.335,95.335,95.335,95.335,1
1703603760,95.335,95.335,95.335,95.335,1
1703604120,95.335,95.335,95.335,95.335,1
1703604480,95.335,95.335,95.335,95.335,1
1703604780,95.33,95.33,95.33,95.33,1
1703604900,95.33,95.33,95.33,95.33,8
1703605080,95.33,95.33,95.33,95.33,1
1703605380,95.325,95.325,95.325,95.325,14
1703605440,95.325,95.325,95.325,95.325,6
1703605860,95.325,95.325,95.325,95.325,1
1703606100,95.325,95.325,95.325,95.325,1
1703606400,95.325,95.325,95.325,95.325,1
1703606520,95.32,95.32,95.32,95.32,7
1703606580,95.32,95.32,95.32,95.32,9
1703606640,95.32,95.32,95.32,95.32,8
1703606820,95.32,95.32,95.32,95.32,1
1703607420,95.325,95.325,95.325,95.325,1
1703607540,95.32,95.32,95.32,95.32,15
1703607960,95.32,95.32,95.32,95.32,197
1703608680,95.325,95.325,95.325,95.325,1
1703609040,95.32,95.32,95.32,95.32,157
1703609100,95.32,95.32,95.32,95.32,7
1703609760,95.32,95.32,95.32,95.32,9
1703609820,95.32,95.32,95.32,95.32,4
1703609940,95.32,95.32,95.32,95.32,7
1703610300,95.32,95.32,95.32,95.32,1
1703610840,95.32,95.32,95.32,95.32,1
1703611020,95.32,95.32,95.32,95.32,22
1703611080,95.32,95.32,95.32,95.32,2
1703611800,95.325,95.325,95.325,95.325,1
1703612520,95.32,95.32,95.32,95.32,1
1703612700,95.32,95.32,95.32,95.32,1
1703613000,95.315,95.315,95.315,95.315,364
1703613060,95.315,95.315,95.315,95.315,2
1703613180,95.315,95.315,95.315,95.315,1
1703613420,95.31,95.31,95.31,95.31,45
1703613600,95.31,95.31,95.31,95.31,22
1703613660,95.31,95.31,95.31,95.31,1
1703613840,95.32,95.32,95.32,95.32,1
