event_date,contract,source_market,target_market,lag_minutes,VECM_coefficient,p_value,is_significant,is_raw_stationary,is_firstdiff_stationary,is_cointegrated
1/31/2024,25bp_dec,CME,PM,1,-0.000522,3.60E-05,TRUE,TRUE,TRUE,TRUE
1/31/2024,25bp_dec,CME,PM,5,-0.000598,2.00E-06,TRUE,TRUE,TRUE,TRUE
1/31/2024,25bp_dec,CME,PM,30,-0.000596,2.00E-06,TRUE,TRUE,TRUE,TRUE
1/31/2024,25bp_dec,CME,PM,60,-0.000616,1.00E-06,TRUE,TRUE,TRUE,TRUE
1/31/2024,25bp_dec,PM,CME,1,-0.000746,0,TRUE,TRUE,TRUE,TRUE
1/31/2024,25bp_dec,PM,CME,5,-0.000436,0.002229,TRUE,TRUE,TRUE,TRUE
1/31/2024,25bp_dec,PM,CME,30,-0.000238,0.092048,FALSE,TRUE,TRUE,TRUE
1/31/2024,25bp_dec,PM,CME,60,-0.000137,0.328695,FALSE,TRUE,TRUE,TRUE
1/31/2024,25bp_dec,CME,KAL,1,-0.003824,0,TRUE,TRUE,TRUE,TRUE
1/31/2024,25bp_dec,CME,KAL,5,-0.003819,0,TRUE,TRUE,TRUE,TRUE
1/31/2024,25bp_dec,CME,KAL,30,-0.003835,0,TRUE,TRUE,TRUE,TRUE
1/31/2024,25bp_dec,CME,KAL,60,-0.00019,0.000908,TRUE,TRUE,TRUE,TRUE
1/31/2024,25bp_dec,KAL,CME,1,-0.000703,0,TRUE,TRUE,TRUE,TRUE
1/31/2024,25bp_dec,KAL,CME,5,-0.000422,0.001882,TRUE,TRUE,TRUE,TRUE
1/31/2024,25bp_dec,KAL,CME,30,-0.000172,0.200778,FALSE,TRUE,TRUE,TRUE
1/31/2024,25bp_dec,KAL,CME,60,-8.20E-05,0.540163,FALSE,TRUE,TRUE,TRUE
1/31/2024,25bp_dec,PM,KAL,1,-0.003388,0,TRUE,TRUE,TRUE,TRUE
1/31/2024,25bp_dec,PM,KAL,5,-0.003386,0,TRUE,TRUE,TRUE,TRUE
1/31/2024,25bp_dec,PM,KAL,30,-0.003375,0,TRUE,TRUE,TRUE,TRUE
1/31/2024,25bp_dec,PM,KAL,60,-0.000168,0.001632,TRUE,TRUE,TRUE,TRUE
1/31/2024,25bp_dec,KAL,PM,1,-0.000438,9.10E-05,TRUE,TRUE,TRUE,TRUE
1/31/2024,25bp_dec,KAL,PM,5,-0.000503,7.00E-06,TRUE,TRUE,TRUE,TRUE
1/31/2024,25bp_dec,KAL,PM,30,-0.000503,7.00E-06,TRUE,TRUE,TRUE,TRUE
1/31/2024,25bp_dec,KAL,PM,60,-0.000503,7.00E-06,TRUE,TRUE,TRUE,TRUE
3/20/2024,25bp_dec,CME,PM,1,-0.000364,0,TRUE,TRUE,TRUE,TRUE
3/20/2024,25bp_dec,CME,PM,5,-0.000364,0,TRUE,TRUE,TRUE,TRUE
3/20/2024,25bp_dec,CME,PM,30,-0.000381,0,TRUE,TRUE,TRUE,TRUE
3/20/2024,25bp_dec,CME,PM,60,-0.000364,0,TRUE,TRUE,TRUE,TRUE
3/20/2024,25bp_dec,PM,CME,1,-0.003835,0,TRUE,TRUE,TRUE,TRUE
3/20/2024,25bp_dec,PM,CME,5,-0.002045,0,TRUE,TRUE,TRUE,TRUE
3/20/2024,25bp_dec,PM,CME,30,-0.000958,0.003417,TRUE,TRUE,TRUE,TRUE
3/20/2024,25bp_dec,PM,CME,60,-0.000742,0.022843,TRUE,TRUE,TRUE,TRUE
3/20/2024,25bp_dec,CME,KAL,1,-0.000626,0,TRUE,TRUE,TRUE,TRUE
3/20/2024,25bp_dec,CME,KAL,5,-0.000494,0,TRUE,TRUE,TRUE,TRUE
3/20/2024,25bp_dec,CME,KAL,30,-0.000365,2.00E-05,TRUE,TRUE,TRUE,TRUE
3/20/2024,25bp_dec,CME,KAL,60,-0.000471,0,TRUE,TRUE,TRUE,TRUE
3/20/2024,25bp_dec,KAL,CME,1,-0.007041,0,TRUE,TRUE,TRUE,TRUE
3/20/2024,25bp_dec,KAL,CME,5,-0.003568,0,TRUE,TRUE,TRUE,TRUE
3/20/2024,25bp_dec,KAL,CME,30,-0.001505,0.001032,TRUE,TRUE,TRUE,TRUE
3/20/2024,25bp_dec,KAL,CME,60,-0.000979,0.03228,TRUE,TRUE,TRUE,TRUE
3/20/2024,25bp_dec,PM,KAL,1,-0.000192,4.40E-05,TRUE,TRUE,TRUE,TRUE
3/20/2024,25bp_dec,PM,KAL,5,-0.000192,4.40E-05,TRUE,TRUE,TRUE,TRUE
3/20/2024,25bp_dec,PM,KAL,30,-0.000204,1.40E-05,TRUE,TRUE,TRUE,TRUE
3/20/2024,25bp_dec,PM,KAL,60,-0.00021,7.00E-06,TRUE,TRUE,TRUE,TRUE
3/20/2024,25bp_dec,KAL,PM,1,-0.000205,4.00E-05,TRUE,TRUE,TRUE,TRUE
3/20/2024,25bp_dec,KAL,PM,5,-0.000205,4.00E-05,TRUE,TRUE,TRUE,TRUE
3/20/2024,25bp_dec,KAL,PM,30,-0.000199,6.70E-05,TRUE,TRUE,TRUE,TRUE
3/20/2024,25bp_dec,KAL,PM,60,-0.000199,6.70E-05,TRUE,TRUE,TRUE,TRUE
6/12/2024,25bp_dec,CME,PM,1,-0.001159,0,TRUE,TRUE,TRUE,TRUE
6/12/2024,25bp_dec,CME,PM,5,-0.00116,0,TRUE,TRUE,TRUE,TRUE
6/12/2024,25bp_dec,CME,PM,30,-0.000896,8.00E-06,TRUE,TRUE,TRUE,TRUE
6/12/2024,25bp_dec,CME,PM,60,-0.000771,0.000126,TRUE,TRUE,TRUE,TRUE
6/12/2024,25bp_dec,PM,CME,1,-0.010016,0,TRUE,TRUE,TRUE,TRUE
6/12/2024,25bp_dec,PM,CME,5,-0.005169,0,TRUE,TRUE,TRUE,TRUE
6/12/2024,25bp_dec,PM,CME,30,-0.001949,0.000697,TRUE,TRUE,TRUE,TRUE
6/12/2024,25bp_dec,PM,CME,60,-0.001196,0.037519,TRUE,TRUE,TRUE,TRUE
6/12/2024,25bp_dec,CME,KAL,1,-0.000303,0.000295,TRUE,TRUE,TRUE,TRUE
6/12/2024,25bp_dec,CME,KAL,5,-0.000284,0.000682,TRUE,TRUE,TRUE,TRUE
6/12/2024,25bp_dec,CME,KAL,30,-0.000201,0.016489,TRUE,TRUE,TRUE,TRUE
6/12/2024,25bp_dec,CME,KAL,60,-0.000198,0.017937,TRUE,TRUE,TRUE,TRUE
6/12/2024,25bp_dec,KAL,CME,1,-0.013208,0,TRUE,TRUE,TRUE,TRUE
6/12/2024,25bp_dec,KAL,CME,5,-0.006803,0,TRUE,TRUE,TRUE,TRUE
6/12/2024,25bp_dec,KAL,CME,30,-0.00248,0.000187,TRUE,TRUE,TRUE,TRUE
6/12/2024,25bp_dec,KAL,CME,60,-0.001462,0.02769,TRUE,TRUE,TRUE,TRUE
6/12/2024,25bp_dec,PM,KAL,1,-0.000396,0.000143,TRUE,TRUE,TRUE,TRUE
6/12/2024,25bp_dec,PM,KAL,5,-0.000335,0.001286,TRUE,TRUE,TRUE,TRUE
6/12/2024,25bp_dec,PM,KAL,30,-0.000238,0.022569,TRUE,TRUE,TRUE,TRUE
6/12/2024,25bp_dec,PM,KAL,60,-0.000162,0.119406,FALSE,TRUE,TRUE,TRUE
6/12/2024,25bp_dec,KAL,PM,1,-0.002456,0,TRUE,TRUE,TRUE,TRUE
6/12/2024,25bp_dec,KAL,PM,5,-0.002318,0,TRUE,TRUE,TRUE,TRUE
6/12/2024,25bp_dec,KAL,PM,30,-0.001919,0,TRUE,TRUE,TRUE,TRUE
6/12/2024,25bp_dec,KAL,PM,60,-0.001637,0,TRUE,TRUE,TRUE,TRUE
7/31/2024,25bp_dec,CME,PM,1,-0.002223,0,TRUE,TRUE,TRUE,TRUE
7/31/2024,25bp_dec,CME,PM,5,-0.001877,0,TRUE,TRUE,TRUE,TRUE
7/31/2024,25bp_dec,CME,PM,30,-0.001351,0,TRUE,TRUE,TRUE,TRUE
7/31/2024,25bp_dec,CME,PM,60,-0.000842,0.001462,TRUE,TRUE,TRUE,TRUE
7/31/2024,25bp_dec,PM,CME,1,-0.002086,0,TRUE,TRUE,TRUE,TRUE
7/31/2024,25bp_dec,PM,CME,5,-0.001443,0,TRUE,TRUE,TRUE,TRUE
7/31/2024,25bp_dec,PM,CME,30,-0.000705,0.004442,TRUE,TRUE,TRUE,TRUE
7/31/2024,25bp_dec,PM,CME,60,-0.000708,0.004317,TRUE,TRUE,TRUE,TRUE
7/31/2024,25bp_dec,CME,KAL,1,-0.002302,0,TRUE,TRUE,TRUE,TRUE
7/31/2024,25bp_dec,CME,KAL,5,-0.00165,0,TRUE,TRUE,TRUE,TRUE
7/31/2024,25bp_dec,CME,KAL,30,-0.001398,0,TRUE,TRUE,TRUE,TRUE
7/31/2024,25bp_dec,CME,KAL,60,-0.001123,3.00E-06,TRUE,TRUE,TRUE,TRUE
7/31/2024,25bp_dec,KAL,CME,1,-0.003062,0,TRUE,TRUE,TRUE,TRUE
7/31/2024,25bp_dec,KAL,CME,5,-0.002099,0,TRUE,TRUE,TRUE,TRUE
7/31/2024,25bp_dec,KAL,CME,30,-0.000766,0.013796,TRUE,TRUE,TRUE,TRUE
7/31/2024,25bp_dec,KAL,CME,60,-0.000679,0.029099,TRUE,TRUE,TRUE,TRUE
7/31/2024,25bp_dec,PM,KAL,1,-0.001731,0,TRUE,TRUE,TRUE,TRUE
7/31/2024,25bp_dec,PM,KAL,5,-0.001569,0,TRUE,TRUE,TRUE,TRUE
7/31/2024,25bp_dec,PM,KAL,30,-0.001108,2.00E-06,TRUE,TRUE,TRUE,TRUE
