event_date,contract,source_market,target_market,lag_minutes,VECM_coefficient,p_value,is_significant,is_raw_stationary,is_firstdiff_stationary,is_cointegrated
5/7/2025,25bp_dec,PM,CME,1,-0.007261,0,TRUE,FALSE,TRUE,TRUE
5/7/2025,25bp_dec,PM,CME,5,-0.00277,0,TRUE,FALSE,TRUE,TRUE
5/7/2025,25bp_dec,PM,CME,30,-0.001329,0.007187,TRUE,FALSE,TRUE,TRUE
5/7/2025,25bp_dec,PM,CME,60,-0.000818,0.098216,FALSE,FALSE,TRUE,TRUE
5/7/2025,25bp_dec,CME,KAL,1,-0.007736,0,TRUE,FALSE,TRUE,TRUE
5/7/2025,25bp_dec,CME,KAL,5,-0.002591,0,TRUE,FALSE,TRUE,TRUE
5/7/2025,25bp_dec,CME,KAL,30,-0.001154,0.008908,TRUE,FALSE,TRUE,TRUE
5/7/2025,25bp_dec,CME,KAL,60,-0.000475,0.277887,FALSE,FALSE,TRUE,TRUE
5/7/2025,25bp_dec,KAL,CME,1,-0.005086,0,TRUE,FALSE,TRUE,TRUE
5/7/2025,25bp_dec,KAL,CME,5,-0.001856,3.00E-06,TRUE,FALSE,TRUE,TRUE
5/7/2025,25bp_dec,KAL,CME,30,-0.001034,0.009307,TRUE,FALSE,TRUE,TRUE
5/7/2025,25bp_dec,KAL,CME,60,-0.000521,0.190134,FALSE,FALSE,TRUE,TRUE
5/7/2025,25bp_dec,PM,KAL,1,-0.015971,0,TRUE,FALSE,TRUE,TRUE
5/7/2025,25bp_dec,PM,KAL,5,-0.005242,0,TRUE,FALSE,TRUE,TRUE
5/7/2025,25bp_dec,PM,KAL,30,-0.002738,5.10E-05,TRUE,FALSE,TRUE,TRUE
5/7/2025,25bp_dec,PM,KAL,60,-0.001458,0.029936,TRUE,FALSE,TRUE,TRUE
5/7/2025,25bp_dec,KAL,PM,1,-0.007718,0,TRUE,FALSE,TRUE,TRUE
5/7/2025,25bp_dec,KAL,PM,5,-0.003867,0,TRUE,FALSE,TRUE,TRUE
5/7/2025,25bp_dec,KAL,PM,30,-0.000945,0.048782,TRUE,FALSE,TRUE,TRUE
5/7/2025,25bp_dec,KAL,PM,60,-0.000843,0.078046,FALSE,FALSE,TRUE,TRUE
6/18/2025,25bp_dec,CME,PM,1,-0.002091,0,TRUE,TRUE,TRUE,TRUE
6/18/2025,25bp_dec,CME,PM,5,-0.00144,0,TRUE,TRUE,TRUE,TRUE
6/18/2025,25bp_dec,CME,PM,30,-0.000529,0.04386,TRUE,TRUE,TRUE,TRUE
6/18/2025,25bp_dec,CME,PM,60,-0.000309,0.239833,FALSE,TRUE,TRUE,TRUE
6/18/2025,25bp_dec,PM,CME,1,-0.00874,0,TRUE,TRUE,TRUE,TRUE
6/18/2025,25bp_dec,PM,CME,5,-0.005881,0,TRUE,TRUE,TRUE,TRUE
6/18/2025,25bp_dec,PM,CME,30,-0.001544,0.003946,TRUE,TRUE,TRUE,TRUE
6/18/2025,25bp_dec,PM,CME,60,-0.00102,0.056424,FALSE,TRUE,TRUE,TRUE
6/18/2025,25bp_dec,CME,KAL,1,-0.007321,0,TRUE,TRUE,TRUE,TRUE
6/18/2025,25bp_dec,CME,KAL,5,-0.001687,0.000531,TRUE,TRUE,TRUE,TRUE
6/18/2025,25bp_dec,CME,KAL,30,-0.000415,0.394992,FALSE,TRUE,TRUE,TRUE
6/18/2025,25bp_dec,CME,KAL,60,-0.00025,0.608768,FALSE,TRUE,TRUE,TRUE
6/18/2025,25bp_dec,KAL,CME,1,-0.009768,0,TRUE,TRUE,TRUE,TRUE
6/18/2025,25bp_dec,KAL,CME,5,-0.006711,0,TRUE,TRUE,TRUE,TRUE
6/18/2025,25bp_dec,KAL,CME,30,-0.001699,0.002902,TRUE,TRUE,TRUE,TRUE
6/18/2025,25bp_dec,KAL,CME,60,-0.001017,0.074047,FALSE,TRUE,TRUE,TRUE
6/18/2025,25bp_dec,PM,KAL,1,-0.030488,0,TRUE,TRUE,TRUE,TRUE
6/18/2025,25bp_dec,PM,KAL,5,-0.007329,0,TRUE,TRUE,TRUE,TRUE
6/18/2025,25bp_dec,PM,KAL,30,-0.001742,0.080629,FALSE,TRUE,TRUE,TRUE
6/18/2025,25bp_dec,PM,KAL,60,-0.001076,0.280861,FALSE,TRUE,TRUE,TRUE
6/18/2025,25bp_dec,KAL,PM,1,-0.010211,0,TRUE,TRUE,TRUE,TRUE
6/18/2025,25bp_dec,KAL,PM,5,-0.006635,0,TRUE,TRUE,TRUE,TRUE
6/18/2025,25bp_dec,KAL,PM,30,-0.002607,5.00E-06,TRUE,TRUE,TRUE,TRUE
6/18/2025,25bp_dec,KAL,PM,60,-0.000534,0.35011,FALSE,TRUE,TRUE,TRUE
7/30/2025,25bp_dec,CME,PM,1,-0.011267,0,TRUE,FALSE,TRUE,TRUE
7/30/2025,25bp_dec,CME,PM,5,-0.005534,0,TRUE,FALSE,TRUE,TRUE
7/30/2025,25bp_dec,CME,PM,30,-0.001732,0.001704,TRUE,FALSE,TRUE,TRUE
7/30/2025,25bp_dec,CME,PM,60,-0.001127,0.039156,TRUE,FALSE,TRUE,TRUE
7/30/2025,25bp_dec,PM,CME,1,-0.002339,0,TRUE,FALSE,TRUE,TRUE
7/30/2025,25bp_dec,PM,CME,5,-0.001971,0,TRUE,FALSE,TRUE,TRUE
7/30/2025,25bp_dec,PM,CME,30,-0.000661,0.080402,FALSE,FALSE,TRUE,TRUE
7/30/2025,25bp_dec,PM,CME,60,-0.000522,0.167779,FALSE,FALSE,TRUE,TRUE
7/30/2025,25bp_dec,CME,KAL,1,-0.017407,0,TRUE,FALSE,TRUE,TRUE
7/30/2025,25bp_dec,CME,KAL,5,-0.006029,0,TRUE,FALSE,TRUE,TRUE
7/30/2025,25bp_dec,CME,KAL,30,-0.000902,0.202066,FALSE,FALSE,TRUE,TRUE
7/30/2025,25bp_dec,CME,KAL,60,-0.000691,0.324717,FALSE,FALSE,TRUE,TRUE
7/30/2025,25bp_dec,KAL,CME,1,-0.002486,0,TRUE,FALSE,TRUE,TRUE
7/30/2025,25bp_dec,KAL,CME,5,-0.002227,0,TRUE,FALSE,TRUE,TRUE
7/30/2025,25bp_dec,KAL,CME,30,-0.001099,0.002767,TRUE,FALSE,TRUE,TRUE
7/30/2025,25bp_dec,KAL,CME,60,-0.000542,0.140262,FALSE,FALSE,TRUE,TRUE
7/30/2025,25bp_dec,PM,KAL,1,-0.02793,0,TRUE,FALSE,TRUE,TRUE
7/30/2025,25bp_dec,PM,KAL,5,-0.00938,0,TRUE,FALSE,TRUE,TRUE
7/30/2025,25bp_dec,PM,KAL,30,-4.70E-05,0.961523,FALSE,FALSE,TRUE,TRUE
7/30/2025,25bp_dec,PM,KAL,60,-0.000112,0.907588,FALSE,FALSE,TRUE,TRUE
7/30/2025,25bp_dec,KAL,PM,1,-0.016212,0,TRUE,FALSE,TRUE,TRUE
7/30/2025,25bp_dec,KAL,PM,5,-0.00775,0,TRUE,FALSE,TRUE,TRUE
7/30/2025,25bp_dec,KAL,PM,30,-0.002858,0.000103,TRUE,FALSE,TRUE,TRUE
7/30/2025,25bp_dec,KAL,PM,60,-0.001972,0.006791,TRUE,FALSE,TRUE,TRUE
9/17/2025,25bp_dec,CME,PM,1,-0.000632,0,TRUE,TRUE,TRUE,TRUE
9/17/2025,25bp_dec,CME,PM,5,-0.000268,0.013683,TRUE,TRUE,TRUE,TRUE
9/17/2025,25bp_dec,CME,PM,30,-0.0001,0.357123,FALSE,TRUE,TRUE,TRUE
9/17/2025,25bp_dec,CME,PM,60,-6.10E-05,0.572493,FALSE,TRUE,TRUE,TRUE
9/17/2025,25bp_dec,PM,CME,1,-0.001751,0,TRUE,TRUE,TRUE,TRUE
9/17/2025,25bp_dec,PM,CME,5,-0.000921,5.00E-06,TRUE,TRUE,TRUE,TRUE
9/17/2025,25bp_dec,PM,CME,30,-0.000404,0.045919,TRUE,TRUE,TRUE,TRUE
9/17/2025,25bp_dec,PM,CME,60,-0.000369,0.06778,FALSE,TRUE,TRUE,TRUE
9/17/2025,25bp_dec,CME,KAL,1,-0.000868,0,TRUE,TRUE,TRUE,TRUE
9/17/2025,25bp_dec,CME,KAL,5,-0.00033,0.009255,TRUE,TRUE,TRUE,TRUE
9/17/2025,25bp_dec,CME,KAL,30,-9.80E-05,0.439231,FALSE,TRUE,TRUE,TRUE
9/17/2025,25bp_dec,CME,KAL,60,-9.40E-05,0.459479,FALSE,TRUE,TRUE,TRUE
9/17/2025,25bp_dec,KAL,CME,1,-0.002041,0,TRUE,TRUE,TRUE,TRUE
9/17/2025,25bp_dec,KAL,CME,5,-0.001054,2.00E-06,TRUE,TRUE,TRUE,TRUE
9/17/2025,25bp_dec,KAL,CME,30,-0.000442,0.045813,TRUE,TRUE,TRUE,TRUE
9/17/2025,25bp_dec,KAL,CME,60,-0.000334,0.131547,FALSE,TRUE,TRUE,TRUE
9/17/2025,25bp_dec,PM,KAL,1,-0.012035,0,TRUE,FALSE,TRUE,TRUE
9/17/2025,25bp_dec,PM,KAL,5,-0.004771,0,TRUE,FALSE,TRUE,TRUE
9/17/2025,25bp_dec,PM,KAL,30,-0.001784,0.001081,TRUE,FALSE,TRUE,TRUE
9/17/2025,25bp_dec,PM,KAL,60,-0.001475,0.00667,TRUE,FALSE,TRUE,TRUE
9/17/2025,25bp_dec,KAL,PM,1,-0.01172,0,TRUE,FALSE,TRUE,TRUE
9/17/2025,25bp_dec,KAL,PM,5,-0.003905,0,TRUE,FALSE,TRUE,TRUE
9/17/2025,25bp_dec,KAL,PM,30,-0.00066,0.197631,FALSE,FALSE,TRUE,TRUE
9/17/2025,25bp_dec,KAL,PM,60,0.000632,0.216843,FALSE,FALSE,TRUE,TRUE
10/29/2025,25bp_dec,CME,PM,1,-0.000956,0,TRUE,FALSE,TRUE,TRUE
10/29/2025,25bp_dec,CME,PM,5,-0.000313,0.007249,TRUE,FALSE,TRUE,TRUE
10/29/2025,25bp_dec,CME,PM,30,-0.000167,0.15182,FALSE,FALSE,TRUE,TRUE
10/29/2025,25bp_dec,CME,PM,60,-0.00012,0.303412,FALSE,FALSE,TRUE,TRUE
10/29/2025,25bp_dec,PM,CME,1,-0.000865,0,TRUE,FALSE,TRUE,TRUE
10/29/2025,25bp_dec,PM,CME,5,-0.000396,0.0021,TRUE,FALSE,TRUE,TRUE
10/29/2025,25bp_dec,PM,CME,30,-0.000143,0.267994,FALSE,FALSE,TRUE,TRUE
10/29/2025,25bp_dec,PM,CME,60,-9.90E-05,0.442032,FALSE,FALSE,TRUE,TRUE
10/29/2025,25bp_dec,CME,KAL,1,-0.000496,0,TRUE,FALSE,TRUE,TRUE
10/29/2025,25bp_dec,CME,KAL,5,-0.000295,0.000179,TRUE,FALSE,TRUE,TRUE
10/29/2025,25bp_dec,CME,KAL,30,-0.000106,0.180739,FALSE,FALSE,TRUE,TRUE
10/29/2025,25bp_dec,CME,KAL,60,-7.50E-05,0.342032,FALSE,FALSE,TRUE,TRUE
10/29/2025,25bp_dec,KAL,CME,1,-0.000813,0,TRUE,FALSE,TRUE,TRUE
10/29/2025,25bp_dec,KAL,CME,5,-0.00036,0.003788,TRUE,FALSE,TRUE,TRUE
10/29/2025,25bp_dec,KAL,CME,30,-0.000154,0.214563,FALSE,FALSE,TRUE,TRUE
10/29/2025,25bp_dec,KAL,CME,60,-7.10E-05,0.566665,FALSE,FALSE,TRUE,TRUE
10/29/2025,25bp_dec,PM,KAL,1,-0.005621,0,TRUE,FALSE,TRUE,TRUE
10/29/2025,25bp_dec,PM,KAL,5,-0.003764,0,TRUE,FALSE,TRUE,TRUE
10/29/2025,25bp_dec,PM,KAL,30,-0.000742,0.010653,TRUE,FALSE,TRUE,TRUE
10/29/2025,25bp_dec,PM,KAL,60,-0.000479,0.099141,FALSE,FALSE,TRUE,TRUE
10/29/2025,25bp_dec,KAL,PM,1,-0.009651,0,TRUE,FALSE,TRUE,TRUE
10/29/2025,25bp_dec,KAL,PM,5,-0.002604,0,TRUE,FALSE,TRUE,TRUE
10/29/2025,25bp_dec,KAL,PM,30,-0.00115,0.005591,TRUE,FALSE,TRUE,TRUE
10/29/2025,25bp_dec,KAL,PM,60,-0.000348,0.40162,FALSE,FALSE,TRUE,TRUE
12/10/2025,25bp_dec,CME,PM,1,-0.000359,0,TRUE,FALSE,TRUE,TRUE
12/10/2025,25bp_dec,CME,PM,5,-8.90E-05,0.138501,FALSE,FALSE,TRUE,TRUE
12/10/2025,25bp_dec,CME,PM,30,-6.20E-05,0.300333,FALSE,FALSE,TRUE,TRUE
12/10/2025,25bp_dec,CME,PM,60,-4.90E-05,0.418935,FALSE,FALSE,TRUE,TRUE
12/10/2025,25bp_dec,PM,CME,1,-0.000666,0,TRUE,FALSE,TRUE,TRUE
12/10/2025,25bp_dec,PM,CME,5,-0.00031,0.000414,TRUE,FALSE,TRUE,TRUE
12/10/2025,25bp_dec,PM,CME,30,-0.000102,0.24628,FALSE,FALSE,TRUE,TRUE
12/10/2025,25bp_dec,PM,CME,60,-6.00E-05,0.491108,FALSE,FALSE,TRUE,TRUE
12/10/2025,25bp_dec,CME,KAL,1,-0.000288,0,TRUE,FALSE,TRUE,TRUE
12/10/2025,25bp_dec,CME,KAL,5,-0.000112,0.028246,TRUE,FALSE,TRUE,TRUE
12/10/2025,25bp_dec,CME,KAL,30,-4.70E-05,0.352479,FALSE,FALSE,TRUE,TRUE
12/10/2025,25bp_dec,CME,KAL,60,-4.40E-05,0.384244,FALSE,FALSE,TRUE,TRUE
12/10/2025,25bp_dec,KAL,CME,1,-0.000682,0,TRUE,FALSE,TRUE,TRUE
12/10/2025,25bp_dec,KAL,CME,5,-0.000315,0.000382,TRUE,FALSE,TRUE,TRUE
12/10/2025,25bp_dec,KAL,CME,30,-0.000116,0.191728,FALSE,FALSE,TRUE,TRUE
12/10/2025,25bp_dec,KAL,CME,60,-6.50E-05,0.466474,FALSE,FALSE,TRUE,TRUE
12/10/2025,25bp_dec,PM,KAL,1,-0.006969,0,TRUE,FALSE,TRUE,TRUE
12/10/2025,25bp_dec,PM,KAL,5,-0.002366,0,TRUE,FALSE,TRUE,TRUE
12/10/2025,25bp_dec,PM,KAL,30,-0.000573,0.032513,TRUE,FALSE,TRUE,TRUE
12/10/2025,25bp_dec,PM,KAL,60,-0.000569,0.033782,TRUE,FALSE,TRUE,TRUE
12/10/2025,25bp_dec,KAL,PM,1,-0.0087,0,TRUE,FALSE,TRUE,TRUE
12/10/2025,25bp_dec,KAL,PM,5,-0.001511,2.00E-06,TRUE,FALSE,TRUE,TRUE
12/10/2025,25bp_dec,KAL,PM,30,-0.000558,0.080406,FALSE,FALSE,TRUE,TRUE
12/10/2025,25bp_dec,KAL,PM,60,-0.000524,0.100938,FALSE,FALSE,TRUE,TRUE
